FlyBaseID,Control_rep1.norm,Control_rep2.norm,Control_rep3.norm,U2af38_rep1.norm,U2af38_rep2.norm,U2af38_rep3.norm,SRPK_rep1.norm,SRPK_rep2.norm,SRPK_rep3.norm
FBgn0031081,122.7388,123.596,136.0101,137.0556,130.7459,108.2339,145.4755,142.2725,142.0791
FBgn0052826,1.3791,0,0,2.1415,0,2.1016,0,1.0461,0
FBgn0031085,12089.0792,12057.6525,12219.5558,3985.3189,4252.1243,4062.451,10680.5075,12596.3441,13147.3051
FBgn0062565,1.3791,0,0,20.3442,31.7251,18.9147,0,0,0
FBgn0031088,0,0,0,1.0707,0.9614,0,0,0,0
FBgn0041626,0,0,0,11.7782,17.3046,9.4573,0,0,0
FBgn0040784,519.9159,727.4956,569.8937,814.8382,617.1973,863.77,517.8494,649.6412,523.4494
FBgn0031086,9.6536,10.9515,7.8684,46.0421,49.9911,83.0144,13.0277,11.5073,11.2168
FBgn0031082,2736.1092,2725.3705,2924.7801,1733.5388,1821.7896,1710.7269,2301.5527,2818.2502,3038.4994
FBgn0031080,4.1373,1.5645,2.2481,62.1033,76.9093,94.5734,1.0856,1.0461,1.2463
FBgn0052821,0,0,0,0,0,0,0,0,0
FBgn0053217,832.9687,805.7209,656.4456,1028.9875,1032.5077,1017.189,1067.1822,745.8843,660.5433
FBgn0052350,340.6346,344.1915,249.5393,349.0634,301.8691,277.4152,441.8547,337.8971,332.7643
FBgn0024733,6189.3438,6226.7364,6414.9577,8052.0145,8581.1579,7366.2135,6750.4976,6671.1142,6472.0784
FBgn0040372,1201.185,1182.767,1099.3216,1779.5809,1841.0169,1852.5869,1726.1646,1579.6428,1613.9691
FBgn0000316,412.3471,411.4652,411.4026,463.6333,536.4425,461.3078,510.2499,493.7692,426.2374
FBgn0024989,268.922,212.7729,272.0203,4364.3632,4698.1983,4711.8547,145.4755,166.3333,179.4684
FBgn0040371,23059.7186,23179.7301,24025.461,11180.736,11526.785,11430.766,20685.748,22746.857,25076.967
FBgn0029521,1.3791,1.5645,0,233.4228,193.2347,224.8744,10.8564,8.369,11.2168
FBgn0004034,27.5817,12.5161,10.1165,523.5951,456.6491,501.2388,31.4835,31.3836,24.9262
FBgn0000022,0,0,2.2481,118.8529,95.1753,111.3864,4.3426,8.369,4.9852
FBgn0004170,0,0,0,102.7917,97.098,116.6405,1.0856,0,0
FBgn0002561,0,0,0,93.155,75.948,76.7095,0,0,0
FBgn0000137,1.3791,1.5645,0,133.8433,92.2912,140.8092,3.2569,0,4.9852
FBgn0029522,344.7718,261.2726,372.0608,157.3998,190.3506,188.0959,452.7111,403.8027,443.6857
FBgn0052817,263.4057,220.5954,212.4456,255.9084,300.9077,258.5005,191.0723,210.2703,240.5375
FBgn0029524,402.6935,356.7075,420.395,528.9488,563.3608,468.6635,470.0813,354.635,438.7005
FBgn0023536,1562.5059,1523.8295,1777.1243,1560.0778,1581.448,1548.9014,1891.1815,1847.4498,2101.2756
FBgn0023534,16.549,14.0806,30.3494,74.9523,83.6389,74.6079,15.1989,20.9224,26.1725
FBgn0023535,39.9935,29.7256,38.2177,108.1454,91.3298,111.3864,18.4558,23.0147,18.6946
FBgn0023537,598.5239,791.6404,710.4001,539.6563,511.447,393.0048,540.6478,488.5385,478.5823
FBgn0029525,895.0277,829.1885,941.9545,530.0196,517.2152,506.4929,1030.2705,948.8318,1050.6378
FBgn0029523,27.5817,40.6772,30.3494,31.0517,30.7637,30.4736,51.025,33.4759,28.6651
FBgn0010019,75.8498,12.5161,597.995,49.2543,21.1501,117.6913,195.4149,12.5535,37.3892
FBgn0011822,2.7582,0,4.4962,7.4952,7.6909,8.4065,2.1713,5.2306,4.9852
FBgn0052816,78.608,101.6929,105.6608,47.1129,40.3774,23.1179,361.5175,255.2535,267.9563
FBgn0040370,154.4578,170.5312,150.6228,137.0556,103.8276,119.7929,142.2186,140.1802,127.1234
FBgn0040373,106.1897,96.9994,86.5519,86.7305,96.1367,78.8111,144.3899,131.8113,94.7194
FBgn0000108,63.438,67.2738,42.7139,673.4996,649.8838,715.605,81.4229,94.1509,93.4731
FBgn0025640,336.4973,297.2563,354.076,316.941,329.7487,311.0413,358.2606,390.2032,334.0106
FBgn0025635,252.373,275.3532,281.0127,321.224,373.9716,356.2263,314.835,293.96,301.6066
FBgn0001341,946.0539,876.1237,885.752,1102.869,1166.1376,1146.4392,1094.3232,1029.3832,1016.9875
FBgn0003575,882.6159,930.8814,956.5672,1830.9767,1764.1076,1828.4182,622.0706,641.2722,654.3118
FBgn0025634,346.1509,341.0624,304.6178,732.3907,768.1319,786.0097,446.1973,403.8027,420.0059
FBgn0025638,1048.1063,959.0426,1024.0102,1466.9228,1546.8388,1405.9905,1203.9726,1100.5194,1056.8693
FBgn0040383,148.9414,170.5312,167.4836,140.2678,144.205,160.7747,92.2792,147.5031,127.1234
FBgn0040382,2056.2192,1875.8434,1817.5901,1424.093,1351.6814,1270.4354,1909.6374,1993.9068,1697.4718
FBgn0027343,442.687,405.2072,403.5342,506.4631,454.7264,527.5092,408.1999,433.0941,429.9763
FBgn0025621,864.6877,755.6567,854.2786,1371.6264,1309.3812,1459.5821,1247.3982,1146.5487,1134.1404
FBgn0029535,768.1516,851.0916,717.1444,61.0326,43.2615,69.3538,503.7361,540.8446,426.2374
FBgn0026874,8.2745,10.9515,5.6203,2.1415,3.8455,4.2033,6.5138,5.2306,3.7389
FBgn0025616,3382.9011,3692.2356,3953.2865,1459.4276,1641.0527,1575.1718,3186.3478,3507.644,3781.299
FBgn0015799,2079.6636,2001.004,2063.7572,3080.538,3196.5438,3111.4633,2124.5937,2125.7181,1893.1421
FBgn0025620,484.0596,561.6579,482.2178,299.809,273.0281,255.3481,511.3355,432.048,443.6857
FBgn0015288,1896.245,1736.6024,1825.4584,1276.33,1544.9161,1126.4737,1657.7694,1700.9929,1645.1268
FBgn0029532,1.3791,1.5645,0,3.2122,0,2.1016,2.1713,0,0
FBgn0029531,0,0,3.3722,3.2122,3.8455,2.1016,3.2569,7.3228,4.9852
FBgn0025639,1409.4272,1625.5224,1683.828,1773.1564,1649.705,1776.9282,2251.6134,2270.0828,2164.8373
FBgn0002579,4028.314,5223.8876,4334.3397,5609.6415,4749.1508,5026.0484,3789.9625,4679.2996,3758.8655
FBgn0026879,86.8825,139.2411,77.5595,76.023,24.9955,49.3883,47.7681,112.9811,71.0396
FBgn0029529,99.2943,117.338,107.9089,150.9753,142.2822,150.2666,136.7904,103.566,124.6308
FBgn0025633,621.9684,666.4798,611.4836,666.0044,633.5406,631.5398,745.8334,792.9598,762.7406
FBgn0040892,410.968,464.6585,444.0001,70.6693,79.7934,72.5062,130.2766,168.4255,214.365
FBgn0040341,8.2745,0,10.1165,25.6979,19.2273,25.2196,0,26.153,46.1134
FBgn0029539,6364.4879,6506.783,6540.8514,3871.8197,4242.5106,3852.288,5885.244,6637.6383,6804.8427
FBgn0040339,501.9878,499.0776,455.2406,649.9432,543.1721,508.5945,552.5898,504.2304,540.8978
FBgn0052815,59.3008,57.8867,44.962,89.9427,83.6389,110.3356,49.9394,66.9517,46.1134
FBgn0040340,929.5048,888.6398,903.7368,482.9067,511.447,385.6491,738.2339,846.312,785.1742
FBgn0040347,118.6015,95.4349,75.3114,156.329,153.8186,158.6731,129.1909,111.935,90.9805
FBgn0042146,187.5559,147.0636,132.638,301.9505,326.8646,349.9214,195.4149,156.9182,176.9758
FBgn0029552,748.8444,730.6246,695.7874,405.813,370.1261,385.6491,558.018,649.6412,591.9964
FBgn0040337,1115.6816,1027.8809,1163.3925,433.6524,457.6105,391.954,1029.1849,1061.8129,1049.3915
FBgn0040398,82.7452,98.5639,119.1494,118.8529,104.789,107.1831,113.992,100.4276,107.1825
FBgn0040365,627.4847,696.2054,532.8001,1226.0049,1063.2714,1090.746,511.3355,570.136,525.9421
FBgn0040397,277.1965,287.8692,258.5317,308.375,317.251,315.2445,362.6031,324.2975,296.6213
FBgn0026143,384.7654,320.7239,348.4557,40.6884,52.8752,36.7785,288.7797,326.3898,340.2421
FBgn0040351,45.5099,35.9837,37.0937,12.849,26.9183,21.0163,44.5112,62.7673,52.3449
FBgn0040338,68.9544,95.4349,78.6836,111.3576,74.9866,111.3864,66.2239,79.5052,76.0248
FBgn0040350,11.0327,1.5645,5.6203,21.4149,27.8796,13.6606,41.2542,35.5681,12.4631
FBgn0040349,8.2745,28.1611,14.6127,1.0707,4.8068,1.0508,3.2569,9.4151,7.4778
FBgn0040348,107.5688,117.338,106.7848,101.7209,79.7934,113.488,111.8207,94.1509,69.7933
FBgn0040346,142.046,129.854,107.9089,147.763,125.939,145.0125,168.2739,146.457,152.0496
FBgn0040342,0,3.129,0,2.1415,1.9227,5.2541,2.1713,1.0461,0
FBgn0040345,2674.0503,2715.9835,2909.0434,596.4059,594.1245,649.4037,2371.0336,2750.2523,2790.484
FBgn0040343,1050.8645,1066.9935,1088.0811,135.9848,134.5913,132.4027,616.6424,721.8236,736.5681
FBgn0052814,48.2681,46.9352,28.1013,23.5564,15.3819,30.4736,37.9973,21.9685,33.6503
FBgn0040364,604.0402,658.6573,650.8254,679.9241,640.2701,573.745,475.5095,546.0752,493.538
FBgn0040362,3708.3657,3811.1381,4035.3422,1214.2266,1324.7631,1234.7077,2874.7696,3149.8706,3170.608
FBgn0040361,100.6734,71.9673,59.5747,298.7383,297.0623,297.3807,122.6771,130.7651,107.1825
FBgn0040360,0,1.5645,2.2481,37.4761,26.9183,40.9818,3.2569,2.0922,0
FBgn0040359,0,0,2.2481,58.8911,70.1798,97.7258,1.0856,1.0461,0
FBgn0040358,16.549,12.5161,16.8608,80.306,69.2184,113.488,5.4282,13.5996,11.2168
FBgn0029568,0,0,0,27.8394,38.4547,34.6769,0,1.0461,0
FBgn0040357,0,0,0,24.6272,16.3432,26.2704,0,0,0
FBgn0040367,2.7582,0,3.3722,25.6979,25.9569,31.5245,2.1713,2.0922,0
FBgn0025642,1017.7664,1010.6713,1093.7014,215.2201,232.6507,217.5187,842.4552,993.815,965.8888
FBgn0004650,1573.5386,1523.8295,1870.4205,441.1476,448.9582,532.7632,1186.6024,1178.9785,1369.6927
FBgn0024362,515.7786,535.0613,511.4431,276.2526,343.2079,290.025,506.993,516.7838,522.2031
FBgn0024361,42.7517,35.9837,43.838,54.6081,49.9911,51.4899,15.1989,28.2453,36.1429
FBgn0024364,238.5821,251.8856,249.5393,396.1762,359.5511,360.4296,429.9127,456.1088,366.4146
FBgn0029573,1.3791,0,1.1241,2.1415,5.7682,14.7114,1.0856,1.0461,2.4926
FBgn0024987,932.263,977.8166,937.4583,1016.1385,1086.3442,1052.9167,999.8727,996.9534,1004.5244
FBgn0023169,1999.6766,1855.5049,1970.461,775.2205,775.8228,724.0116,2325.4368,2309.8354,2429.0547
FBgn0052813,226.1703,225.289,246.1671,361.9124,310.5214,296.3298,259.4675,269.8992,229.3207
FBgn0024985,832.9687,908.9783,804.8203,706.6928,769.0932,651.5053,959.7041,955.1086,775.2037
FBgn0027794,274.4384,280.0467,281.0127,304.092,354.7443,278.466,311.5781,348.3583,295.375
FBgn0027795,5342.5842,5106.5496,5927.1197,1680.0014,1747.7644,1858.8918,5395.6213,5817.4794,6245.2503
FBgn0024986,219.2749,198.6923,229.3064,140.2678,180.7369,147.1141,212.7851,208.1781,194.4241
FBgn0000826,6.8954,18.7741,22.481,34.2639,40.3774,44.1342,14.1133,15.6918,18.6946
FBgn0024365,608.1775,602.3351,653.0735,424.0157,445.1127,361.4804,793.6014,766.8068,699.1789
FBgn0024360,866.0668,894.8978,920.5976,259.1207,257.6462,269.0087,1108.4365,1048.2133,1041.9136
FBgn0024366,13.7909,15.6451,33.7215,33.1931,38.4547,40.9818,44.5112,56.4905,53.5913
FBgn0025641,1485.277,1489.4103,1490.4913,849.1021,747.9432,809.1276,1545.9486,1472.9385,1481.8604
FBgn0052811,426.138,586.69,468.7292,124.2066,79.7934,123.9962,186.7298,266.7609,326.5327
FBgn0028550,415.1053,488.1261,444.0001,410.0959,392.2376,379.3442,353.918,327.4359,375.1388
FBgn0026876,71.7125,92.3059,83.1798,66.3863,96.1367,84.0652,77.0803,114.0272,108.4288
FBgn0040366,56.5426,61.0158,57.3266,44.9714,61.5275,45.185,73.8234,59.6289,46.1134
FBgn0040363,0,0,0,3.2122,6.7296,8.4065,2.1713,0,2.4926
FBgn0040368,6714.776,7140.4082,7441.216,6793.8872,6669.9611,6598.0677,6209.8498,6973.4432,7041.6413
FBgn0026872,42.7517,34.4191,52.8304,47.1129,50.9524,46.2359,43.4255,34.522,34.8966
FBgn0029580,6.8954,3.129,7.8684,4.283,6.7296,11.559,3.2569,6.2767,16.202
FBgn0025383,35.8563,18.7741,21.357,8.566,18.266,16.813,16.2846,8.369,18.6946
FBgn0025381,1722.48,1559.8131,1618.6331,1667.1525,1683.3528,1614.0519,2092.0246,1994.9529,1997.832
FBgn0025394,581.9748,686.8184,657.5697,893.0027,948.8688,935.2254,842.4552,690.4399,768.9722
FBgn0000482,361.3209,380.1751,360.8203,237.7057,253.8008,234.3318,473.3382,475.9851,439.9468
FBgn0001189,961.2238,957.4781,1045.3672,354.4171,397.0444,370.9377,992.2732,950.9241,1003.2781
FBgn0029587,2.7582,7.8225,13.4886,17.1319,19.2273,24.1687,2.1713,2.0922,4.9852
FBgn0024897,67.5753,98.5639,86.5519,185.2392,170.1619,154.4698,154.1606,123.4423,109.6751
FBgn0025391,24.8236,37.5482,28.1013,42.8299,50.9524,45.185,46.6824,25.1069,26.1725
FBgn0025378,2503.0434,2368.663,2462.7952,625.316,681.6089,614.7268,2178.8756,2281.5901,2611.0157
FBgn0023130,140.6669,145.4991,147.2506,111.3576,133.63,143.9617,179.1303,146.457,171.9905
FBgn0023530,248.2357,226.8535,259.6557,291.2431,364.3579,312.0921,298.5505,221.7777,234.3059
FBgn0025390,279.9547,269.0951,312.4861,258.0499,279.7577,260.6021,326.7771,318.0208,331.518
FBgn0025393,1.3791,0,0,4.283,0.9614,2.1016,1.0856,1.0461,0
FBgn0003517,6298.2917,6384.7515,6081.1146,8757.6365,8580.1965,7744.5069,6798.2657,6679.4832,6179.196
FBgn0044508,0,0,0,0,0,0,0,0,0
FBgn0025382,79.9871,78.2253,75.3114,32.1224,29.8024,19.9655,77.0803,79.5052,69.7933
FBgn0052808,22.0654,21.9031,10.1165,14.9905,11.5364,15.7622,27.141,21.9685,21.1872
FBgn0027791,268.922,256.5791,236.0507,123.1359,111.5185,121.8945,224.7271,266.7609,173.2368
FBgn0027793,35.8563,15.6451,29.2253,19.2734,28.841,23.1179,16.2846,25.1069,43.6208
FBgn0052806,2690.5993,2952.224,2949.5092,1639.3131,1680.4687,1531.0375,2329.7793,2565.0889,2630.9566
