gene_id	gene_symbol	biotype
FBgn0000003	7SLRNA:CR32864	SRP_RNA_gene
FBgn0000008	a	protein_coding_gene
FBgn0000014	abd-A	protein_coding_gene
FBgn0000015	Abd-B	protein_coding_gene
FBgn0000017	Abl	protein_coding_gene
FBgn0000018	abo	protein_coding_gene
FBgn0000022	ac	protein_coding_gene
FBgn0000024	Ace	protein_coding_gene
FBgn0000028	acj6	protein_coding_gene
FBgn0000032	Acph-1	protein_coding_gene
FBgn0000036	nAChRalpha1	protein_coding_gene
FBgn0000037	mAChR-A	protein_coding_gene
FBgn0000038	nAChRbeta1	protein_coding_gene
FBgn0000039	nAChRalpha2	protein_coding_gene
FBgn0000042	Act5C	protein_coding_gene
FBgn0000043	Act42A	protein_coding_gene
FBgn0000044	Act57B	protein_coding_gene
FBgn0000045	Act79B	protein_coding_gene
FBgn0000046	Act87E	protein_coding_gene
FBgn0000047	Act88F	protein_coding_gene
FBgn0000052	Pfas	protein_coding_gene
FBgn0000053	Gart	protein_coding_gene
FBgn0000055	Adh	protein_coding_gene
FBgn0000056	Adhr	protein_coding_gene
FBgn0000057	adp	protein_coding_gene
FBgn0000061	al	protein_coding_gene
FBgn0000063	Mps1	protein_coding_gene
FBgn0000064	Ald1	protein_coding_gene
FBgn0000071	Ama	protein_coding_gene
FBgn0000075	amd	protein_coding_gene
FBgn0000077	amx	protein_coding_gene
FBgn0000078	Amy-d	protein_coding_gene
FBgn0000079	Amy-p	protein_coding_gene
FBgn0000083	AnxB9	protein_coding_gene
FBgn0000084	AnxB10	protein_coding_gene
FBgn0000092	dyw	protein_coding_gene
FBgn0000094	Anp	protein_coding_gene
FBgn0000097	aop	protein_coding_gene
FBgn0000100	RpLP0	protein_coding_gene
FBgn0000108	Appl	protein_coding_gene
FBgn0000109	Aprt	protein_coding_gene
FBgn0000114	bru1	protein_coding_gene
FBgn0000115	Arl1	protein_coding_gene
FBgn0000116	Argk1	protein_coding_gene
FBgn0000117	arm	protein_coding_gene
FBgn0000119	arr	protein_coding_gene
FBgn0000120	Arr1	protein_coding_gene
FBgn0000121	Arr2	protein_coding_gene
FBgn0000137	ase	protein_coding_gene
FBgn0000139	ash2	protein_coding_gene
FBgn0000140	asp	protein_coding_gene
FBgn0000146	aub	protein_coding_gene
FBgn0000147	aurA	protein_coding_gene
FBgn0000150	awd	protein_coding_gene
FBgn0000152	Axs	protein_coding_gene
FBgn0000153	b	protein_coding_gene
FBgn0000157	Dll	protein_coding_gene
FBgn0000158	bam	protein_coding_gene
FBgn0000163	baz	protein_coding_gene
FBgn0000166	bcd	protein_coding_gene
FBgn0000173	ben	protein_coding_gene
FBgn0000179	bi	protein_coding_gene
FBgn0000180	bib	protein_coding_gene
FBgn0000181	bic	protein_coding_gene
FBgn0000182	BicC	protein_coding_gene
FBgn0000183	BicD	protein_coding_gene
FBgn0000206	boss	protein_coding_gene
FBgn0000212	brm	protein_coding_gene
FBgn0000216	Brd	protein_coding_gene
FBgn0000221	brn	protein_coding_gene
FBgn0000227	Elba1	protein_coding_gene
FBgn0000228	Nin	protein_coding_gene
FBgn0000229	bsk	protein_coding_gene
FBgn0000233	btd	protein_coding_gene
FBgn0000239	bur	protein_coding_gene
FBgn0000241	bw	protein_coding_gene
FBgn0000244	by	protein_coding_gene
FBgn0000246	c(3)G	protein_coding_gene
FBgn0000247	ca	protein_coding_gene
FBgn0000250	cact	protein_coding_gene
FBgn0000251	cad	protein_coding_gene
FBgn0000253	Cam	protein_coding_gene
FBgn0000256	capu	protein_coding_gene
FBgn0000257	car	protein_coding_gene
FBgn0000259	CkIIbeta	protein_coding_gene
FBgn0000261	Cat	protein_coding_gene
FBgn0000273	Pka-C1	protein_coding_gene
FBgn0000274	Pka-C2	protein_coding_gene
FBgn0000276	CecA1	protein_coding_gene
FBgn0000277	CecA2	protein_coding_gene
FBgn0000278	CecB	protein_coding_gene
