Gene	AS_event_ID	AS_structure_ID	sub_junction_ID	sub-junction_dispersion_estimate	LRT_statistic-full_vs_reduced	LRT_p_value-full_vs_reduced	BH_adjusted_p-values	control	KD	fitting_parameter_log2fold_change_KD_control	sub_junction_chr	sub_junction_start_coor	sub_junction_end_coor	sub_junction_size	sub_junction_strand	raw_count.Control1	raw_count.Control2	raw_count.Control3	raw_count.SRPK1	raw_count.SRPK2	raw_count.SRPK3	percentage_usage.Control1	percentage_usage.Control2	percentage_usage.Control3	percentage_usage.SRPK1	percentage_usage.SRPK2	percentage_usage.SRPK3	deltaPSI
CG4972	chr2L_+_10308643_10315073_10315343	3_Junction_1000_Junction_1028	J001	0.0693685518908929	8.67458683054456	0.00322678003032481	0.0238074624931775	1.53378079508894	3.81003157226885	2.67344563026647	chr2L	10308643	10315343	6701	+	0	0	2	4	9	7	0.00%	0.00%	0.36%	0.51%	1.36%	1.10%	-0.0087
CG4972	chr2L_+_10308643_10315073_10315343	3_Junction_1000_Junction_1028	J002	0.0428709024949882	9.65231295205182	0.00189113316803879	0.0154784859553751	22.6718233574413	21.8806622440836	-0.214706831195622	chr2L	10315073	10315343	271	+	520	421	561	781	655	628	100.00%	100.00%	99.64%	99.49%	98.64%	98.90%	0.00870000000000004
CG7414	chr3L_+_21826752_21827035_21827092	3_Junction_100108_Junction_100111	J001	0.00159816391205605	41.4273899323512	1.22331298808582e-10	5.05056874470572e-09	31.8459337764942	32.6982231068464	0.224613761526308	chr3L	21826752	21827092	341	+	3207	2657	4370	3862	4312	4065	56.87%	55.89%	58.17%	66.10%	64.67%	63.65%	-0.0782999999999999
CG7414	chr3L_+_21826752_21827035_21827092	3_Junction_100108_Junction_100111	J002	0.00159860726951149	41.4180476356946	1.22917323260457e-10	5.07150402284845e-09	30.298249858485	29.3786038067581	-0.24313434949439	chr3L	21827035	21827092	58	+	2432	2097	3143	1981	2356	2321	43.13%	44.11%	41.83%	33.90%	35.33%	36.35%	0.0783000000000001
CG32305	chr3L_+_2248922_2249322_2249455	3_Junction_100963_Junction_100971	J001	0.0282137282873525	5.34105813253609	0.0208288263835132	0.101769442934535	3.97470985229708	5.09954389994828	0.759064570497951	chr3L	2248922	2249455	534	+	4	6	5	13	9	12	36.36%	54.55%	29.41%	61.90%	69.23%	66.67%	-0.258266666666667
CG32305	chr3L_+_2248922_2249322_2249455	3_Junction_100963_Junction_100971	J002	0.0294983296157896	5.29654243523456	0.0213677992280838	0.103653914536837	4.94362618250724	3.76866498566713	-0.823209619646936	chr3L	2249322	2249455	134	+	7	5	12	8	4	6	63.64%	45.45%	70.59%	38.10%	30.77%	33.33%	0.258266666666667
slif	chr3L_+_22881398_22889395_22891363	3_Junction_101756_Junction_101768	J001	0.0390835075729661	5.97932158466621	0.0144745689382077	0.0771006729491543	2.16891205840297	3.93399534898396	1.76053867913985	chr3L	22881398	22891363	9966	+	2	3	0	5	8	4	1.09%	1.47%	0.00%	2.28%	4.08%	2.56%	-0.0212
slif	chr3L_+_22881398_22889395_22891363	3_Junction_101756_Junction_101768	J002	0.0186970148684897	6.72225680324229	0.00952170656564421	0.0557986282868106	16.6810092186205	16.2869771488012	-0.114144347929391	chr3L	22889395	22891363	1969	+	181	201	210	214	188	152	98.91%	98.53%	100.00%	97.72%	95.92%	97.44%	0.0212
NONE	chr3L_+_23311344_23311621_23315490	3_Junction_102283_Junction_102286	J001	0.150039813069695	3.9247242761479	0.0475809922685123	0.182737521630986	5.22311554541574	4.02998947548243	-0.791543342841164	chr3L	23311344	23315490	4147	+	16	7	20	2	3	8	84.21%	50.00%	83.33%	40.00%	27.27%	61.54%	0.295766666666667
NONE	chr3L_+_23311344_23311621_23315490	3_Junction_102283_Junction_102286	J002	0.165957389499052	3.73936046897379	0.0531447824904383	0.197128816442534	3.12571930643822	4.42218431173033	1.03964591005739	chr3L	23311621	23315490	3870	+	3	7	4	3	8	5	15.79%	50.00%	16.67%	60.00%	72.73%	38.46%	-0.295766666666667
