Gene	AS_event_ID	AS_structure_ID	sub_junction_ID	sub-junction_dispersion_estimate	LRT_statistic-full_vs_reduced	LRT_p_value-full_vs_reduced	BH_adjusted_p-values	control	KD	fitting_parameter_log2fold_change_KD_control	sub_junction_chr	sub_junction_start_coor	sub_junction_end_coor	sub_junction_size	sub_junction_strand	raw_count.Control1	raw_count.Control2	raw_count.Control3	raw_count.SRPK1	raw_count.SRPK2	raw_count.SRPK3	percentage_usage.Control1	percentage_usage.Control2	percentage_usage.Control3	percentage_usage.SRPK1	percentage_usage.SRPK2	percentage_usage.SRPK3	deltaPSI
Dhc64C	chr3L_-_4811669_4812056-4812255_4812893-4813089_4813326	3_Junction_109766_Junction_109767	J001	0.00358717934296498	11.1482742056158	0.000841098853266363	0.00792738137216614	12.834195829892	13.9337263965812	0.343814377844299	chr3L	4812255	4813326	1072	-	76	67	96	144	121	117	36.36%	37.64%	36.78%	49.48%	44.81%	47.37%	-0.102933333333333
Dhc64C	chr3L_-_4811669_4812056-4812255_4812893-4813089_4813326	3_Junction_109766_Junction_109767	J002	0.00355319677523608	11.1800660921712	0.000826808271844342	0.00781907701921866	15.3611937578939	14.4503656994432	-0.272844889821419	chr3L	4813089	4813326	238	-	133	111	165	147	149	130	63.64%	62.36%	63.22%	50.52%	55.19%	52.63%	0.102933333333333
Dhc64C	chr3L_-_4811669_4812056-4812255_4812893-4813089_4813326	5_Junction_109762_Junction_109763	J001	0.0133208171992298	6.10951854080766	0.0134455750594523	0.0728786017038704	13.4474349936251	14.4538060023997	0.309251029673268	chr3L	4811669	4812055	387	-	92	63	120	153	125	148	38.98%	35.20%	40.13%	54.84%	42.96%	47.74%	-0.1041
Dhc64C	chr3L_-_4811669_4812056-4812255_4812893-4813089_4813326	5_Junction_109762_Junction_109763	J002	0.0132640922242091	6.12533981344146	0.0133257670835535	0.0723268505588509	15.7078274341129	14.769081228084	-0.2790070265532	chr3L	4811669	4812892	1224	-	144	116	179	126	166	162	61.02%	64.80%	59.87%	45.16%	57.04%	52.26%	0.1041
Tm1	chr3R_+_15300822_15301010-15301073_15301623-15301686_15303151	3_Junction_127879_Junction_127880	J001	0.018676874144665	11.9756452092174	0.000539004004038412	0.00541880379083437	16.7811661909903	15.1935767015614	-0.464465504447319	chr3R	15301073	15303151	2079	+	178	177	266	118	170	148	36.85%	37.50%	40.61%	19.50%	28.62%	28.35%	0.1283
Tm1	chr3R_+_15300822_15301010-15301073_15301623-15301686_15303151	3_Junction_127879_Junction_127880	J002	0.0185961655247152	12.0179891869858	0.000526895163051985	0.00531787465351494	19.1931341347723	20.6502295038276	0.402938322996707	chr3R	15301686	15303151	1466	+	305	295	389	487	424	374	63.15%	62.50%	59.39%	80.50%	71.38%	71.65%	-0.1283
Tm1	chr3R_+_15300822_15301010-15301073_15301623-15301686_15303151	5_Junction_127877_Junction_127878	J001	0.00863638964841528	20.9577811446686	4.69516912376533e-06	8.77574511724785e-05	16.9833679903044	15.334059841101	-0.480907821261163	chr3R	15300822	15301009	188	+	202	174	257	138	166	154	40.97%	37.26%	39.60%	22.48%	26.60%	29.96%	0.1293
Tm1	chr3R_+_15300822_15301010-15301073_15301623-15301686_15303151	5_Junction_127877_Junction_127878	J002	0.00858548355275827	21.0423996563086	4.4923126495239e-06	8.45810835047084e-05	19.2125484674523	20.5856452764643	0.379786756902263	chr3R	15300822	15301622	801	+	291	293	392	476	458	360	59.03%	62.74%	60.40%	77.52%	73.40%	70.04%	-0.1293
CG31522	chr3R_-_4444562_4445331-4445415_4446165-4446246_4446423	3_Junction_157123_Junction_157124	J001	0.189792067131181	2.73616968575733	0.098099650899935	0.296500019474375	9.66919696045266	8.01087418717535	-0.654419071482159	chr3R	4445415	4446423	1009	-	31	29	45	29	21	46	81.58%	70.73%	73.77%	54.72%	30.00%	76.67%	0.215633333333333
CG31522	chr3R_-_4444562_4445331-4445415_4446165-4446246_4446423	3_Junction_157123_Junction_157124	J002	0.192828937395521	2.69989080620618	0.100355119438414	0.300838444260114	6.03589082177951	7.5819673361089	0.739441537530776	chr3R	4446246	4446423	178	-	7	12	16	24	49	14	18.42%	29.27%	26.23%	45.28%	70.00%	23.33%	-0.215633333333333
CG31522	chr3R_-_4444562_4445331-4445415_4446165-4446246_4446423	5_Junction_157118_Junction_157119	J001	0.0880670729755467	10.8415836197087	0.000992458180324726	0.00911718946978989	9.66436117557897	7.41328728950573	-0.911730358890813	chr3R	4444562	4445330	769	-	31	26	43	28	22	35	88.57%	68.42%	71.67%	47.46%	30.14%	54.69%	0.321233333333333
CG31522	chr3R_-_4444562_4445331-4445415_4446165-4446246_4446423	5_Junction_157118_Junction_157119	J002	0.0895283507867825	10.725766334925	0.0010565390328879	0.00960015898327466	5.99545454760211	8.27510432931923	1.05529583095517	chr3R	4444562	4446164	1603	-	4	12	17	31	51	29	11.43%	31.58%	28.33%	52.54%	69.86%	45.31%	-0.321233333333333
Tep2	chr2L_-_7696206_7696593-7696807_7697006-7697157_7697400-7697581_7697976-7698130_7698373-7698551_7698723	3_Junction_33402_Junction_33408_Junction_33412_Junction_33415_Junction_33418	J001	0.0207281768719822	4.2533352433137	0.0391733252551344	0.159607635423041	6.49086980276345	7.9299391389647	0.657826831187791	chr2L	7696807	7698723	1917	-	24	9	13	31	30	24	12.12%	5.36%	6.91%	12.30%	14.35%	12.63%	-0.0496333333333333
Tep2	chr2L_-_7696206_7696593-7696807_7697006-7697157_7697400-7697581_7697976-7698130_7698373-7698551_7698723	3_Junction_33402_Junction_33408_Junction_33412_Junction_33415_Junction_33418	J002	0.014256921642499	0.0716634543889114	0.788930013453359	0.916286519173633	12.0564313715894	12.2126812839957	0.0511025511045098	chr2L	7697157	7698723	1567	-	71	59	78	103	67	82	35.86%	35.12%	41.49%	40.87%	32.06%	43.16%	-0.0120666666666667
Tep2	chr2L_-_7696206_7696593-7696807_7697006-7697157_7697400-7697581_7697976-7698130_7698373-7698551_7698723	3_Junction_33402_Junction_33408_Junction_33412_Junction_33415_Junction_33418	J003	0.00755477567906779	5.98182742085041	0.0144540182638668	0.0770445226758273	10.4041954670339	9.10181656543262	-0.481717043884188	chr2L	7697581	7698723	1143	-	51	48	41	42	43	33	25.76%	28.57%	21.81%	16.67%	20.57%	17.37%	0.0717666666666666
Tep2	chr2L_-_7696206_7696593-7696807_7697006-7697157_7697400-7697581_7697976-7698130_7698373-7698551_7698723	3_Junction_33402_Junction_33408_Junction_33412_Junction_33415_Junction_33418	J004	0.0122471126122862	0.943562484366154	0.331363342751179	0.610715873929265	9.16466446336401	8.59307067085855	-0.224430955878953	chr2L	7698130	7698723	594	-	33	36	33	43	38	22	16.67%	21.43%	17.55%	17.06%	18.18%	11.58%	0.0294333333333334
Tep2	chr2L_-_7696206_7696593-7696807_7697006-7697157_7697400-7697581_7697976-7698130_7698373-7698551_7698723	3_Junction_33402_Junction_33408_Junction_33412_Junction_33415_Junction_33418	J005	0.00701107963360991	3.13276617003817	0.0767334388138365	0.252908154678553	7.18443274026194	8.24388890078085	0.459699005169291	chr2L	7698551	7698723	173	-	19	16	23	33	31	29	9.60%	9.52%	12.23%	13.10%	14.83%	15.26%	-0.0394666666666667
Tep2	chr2L_-_7696206_7696593-7696807_7697006-7697157_7697400-7697581_7697976-7698130_7698373-7698551_7698723	5_Junction_33389_Junction_33391_Junction_33393_Junction_33394_Junction_33395	J001	0.0129726238771185	4.03654226214682	0.0445249609042534	0.174687187825219	5.78087914422256	7.11829044464451	0.667378878537053	chr2L	7696206	7696592	387	-	14	8	14	30	21	15	8.54%	4.79%	7.29%	12.88%	10.82%	8.62%	-0.039
Tep2	chr2L_-_7696206_7696593-7696807_7697006-7697157_7697400-7697581_7697976-7698130_7698373-7698551_7698723	5_Junction_33389_Junction_33391_Junction_33393_Junction_33394_Junction_33395	J002	0.0119097879946367	0.212457418071139	0.644848085579777	0.842258001763534	12.0776391749335	12.2575654846799	0.0587676217166218	chr2L	7696206	7697005	800	-	68	58	85	97	74	82	41.46%	34.73%	44.27%	41.63%	38.14%	47.13%	-0.0214666666666667
Tep2	chr2L_-_7696206_7696593-7696807_7697006-7697157_7697400-7697581_7697976-7698130_7698373-7698551_7698723	5_Junction_33389_Junction_33391_Junction_33393_Junction_33394_Junction_33395	J003	0.011831726835337	9.57714776570108	0.0019701423899269	0.0160189160346226	10.0951564195776	8.22037314280425	-0.723024142060272	chr2L	7696206	7697399	1194	-	41	49	40	34	35	23	25.00%	29.34%	20.83%	14.59%	18.04%	13.22%	0.0977333333333333
Tep2	chr2L_-_7696206_7696593-7696807_7697006-7697157_7697400-7697581_7697976-7698130_7698373-7698551_7698723	5_Junction_33389_Junction_33391_Junction_33393_Junction_33394_Junction_33395	J004	0.00563940486208882	0.0190471885888428	0.890231287445537	0.960171729327832	9.30079012927886	9.34513388201957	0.0168568659141748	chr2L	7696206	7697975	1770	-	31	36	40	46	38	41	18.90%	21.56%	20.83%	19.74%	19.59%	23.56%	-0.00533333333333338
Tep2	chr2L_-_7696206_7696593-7696807_7697006-7697157_7697400-7697581_7697976-7698130_7698373-7698551_7698723	5_Junction_33389_Junction_33391_Junction_33393_Junction_33394_Junction_33395	J005	0.0181524922011906	2.32807594136945	0.127058839758692	0.350136707487051	6.01630488513154	7.06722248515868	0.51781871020521	chr2L	7696206	7698372	2167	-	10	16	13	26	26	13	6.10%	9.58%	6.77%	11.16%	13.40%	7.47%	-0.0319333333333333
Ate1	chr2R_-_20255809_20255885-20256035_20256082-20256235_20256434	3_Junction_57513_Junction_57514	J001	0.00935768449970921	7.21078755463185	0.00724666894728385	0.0452325359349458	17.3495598057696	18.163657105111	0.231007919314677	chr2R	20256035	20256434	400	-	190	187	309	318	261	231	65.29%	74.50%	69.75%	79.30%	75.65%	77.78%	-0.0772999999999999
Ate1	chr2R_-_20255809_20255885-20256035_20256082-20256235_20256434	3_Junction_57513_Junction_57514	J002	0.00954539856106641	7.12889442047431	0.00758514829883861	0.046885164232242	13.3118472157373	12.1748230223102	-0.363438910083894	chr2R	20256235	20256434	200	-	101	64	134	83	84	66	34.71%	25.50%	30.25%	20.70%	24.35%	22.22%	0.0773000000000001
Ate1	chr2R_-_20255809_20255885-20256035_20256082-20256235_20256434	5_Junction_57510_Junction_57511	J001	0.00906847790776566	6.9151694592493	0.00854675415196123	0.0514334457588891	17.7627419290373	18.5296250741037	0.216427133803679	chr2R	20255809	20255884	76	-	226	206	338	315	288	237	66.67%	74.10%	73.80%	77.97%	80.67%	77.96%	-0.0734333333333334
Ate1	chr2R_-_20255809_20255885-20256035_20256082-20256235_20256434	5_Junction_57510_Junction_57511	J002	0.00925858768801629	6.83688275575695	0.00892945265637767	0.0531391355348178	13.2765654450945	12.1757123723395	-0.35208788911716	chr2R	20255809	20256081	273	-	113	72	120	89	69	67	33.33%	25.90%	26.20%	22.03%	19.33%	22.04%	0.0734333333333333
sona	chr2R_-_23758602_23759725-23759781_23760621-23760674_23760851	3_Junction_63889_Junction_63890	J001	0.0272802792539381	3.15410846823026	0.0757360508953233	0.250752958076919	11.4731348467834	10.8671651701166	-0.20690448634701	chr2R	23759781	23760851	1071	-	50	50	65	65	76	62	96.15%	87.72%	86.67%	76.47%	85.39%	86.11%	0.0752333333333333
sona	chr2R_-_23758602_23759725-23759781_23760621-23760674_23760851	3_Junction_63889_Junction_63890	J002	0.0358967640392631	2.88906883842169	0.0891824563021434	0.278846012620753	4.49701210893	5.59717698974118	0.674901109066431	chr2R	23760674	23760851	178	-	2	7	10	20	13	10	3.85%	12.28%	13.33%	23.53%	14.61%	13.89%	-0.0752333333333333
