FlyBase ID,Gene,Chr,Average,log2(SRPK/Control),pvalue,padj,log2(U2af38/Control),pvalue,padj
FBgn0031081, Nep3,chrX,167.7323665,0.126202184,0.288871739,0.435384601,-0.026233436,0.85597426,0.88282051
FBgn0052826, tRNA:Pro-CGG-1-1,chrX,1.016031754,-0.014821278,0.902837423,NA,0.605930825,0.419207969,0.46920294
FBgn0031085, CG9570,chrX,6296.874717,0.001995273,0.97674311,1,-1.559590136,1.64E-98,2.42E-97
FBgn0062565, Or19b,chrX,15.5330867,-0.098869928,0.474407082,0.623645709,4.754574262,6.47E-06,1.21E-05
FBgn0031088, CG15322,chrX,5.547170513,0,1,1,0.635289245,0.37737647,0.426567418
FBgn0041626, Or19a,chrX,3.658549083,0,1,1,4.596214439,5.11E-05,8.89E-05
FBgn0040784, karr,chrX,818.4069896,-0.077828247,0.505180022,0.648756193,0.324345245,0.023301229,0.031535257
FBgn0031086, fd19B,chrX,17.83373382,0.091454895,0.559039385,0.695244273,2.514206398,8.17E-07,1.63E-06
FBgn0031082, CG17003,chrX,1818.230567,-0.037459612,0.621217401,0.746627921,-0.664813028,9.33E-16,3.01E-15
FBgn0031080, CG12655,chrX,31.46974414,-0.204095814,0.23401028,0.371476343,4.645482098,4.60E-14,1.39E-13
FBgn0052821, CR32821,chrX,0,0,NA,NA,0,NA,NA
FBgn0053217, CG33217,chr3L,1317.431082,0.085167544,0.469947679,0.620515682,0.408163827,0.005246224,0.007626944
FBgn0052350, Vps11,chr3L,419.6656272,0.210584363,0.061794818,0.129991656,-0.002136195,0.98698442,0.995292869
FBgn0024733, RpL10,chr3L,7705.308787,0.074714689,0.229218405,0.365669813,0.346955248,9.60E-08,2.05E-07
FBgn0040372, G9a,chrX,1918.723551,0.470326264,7.82E-10,1.01E-08,0.647103604,5.80E-16,1.88E-15
FBgn0000316, cin,chrX,623.4471121,0.185765081,0.049681097,0.10887028,0.237287776,0.024119221,0.032581833
FBgn0024989, CG3777,chrX,946.4403092,-0.577770744,2.69E-08,2.70E-07,4.177086711,0,0
FBgn0040371, CG12470,chrX,13358.84636,-0.034397574,0.59610843,0.724877246,-1.036709671,5.65E-51,4.20E-50
FBgn0029521, Or1a,chrX,65.63683822,1.492249927,0.001095038,0.004079069,7.162342463,2.21E-14,6.76E-14
FBgn0004034, y,chrX,152.6742309,0.526767112,0.007088285,0.020847334,4.865743362,1.16E-74,1.25E-73
FBgn0000022, ac,chrX,20.73594278,0.676745968,0.015391319,0.040671833,6.175164219,1.38E-10,3.50E-10
FBgn0004170, sc,chrX,18.5074621,0.055743353,0.678740259,0.793981313,7.644203365,9.53E-13,2.71E-12
FBgn0002561, l(1)sc,chrX,13.80207771,0,1,1,7.258424331,2.09E-11,5.56E-11
FBgn0000137, ase,chrX,21.37616202,0.221532776,0.196850851,0.325901562,6.313128233,5.89E-11,1.53E-10
FBgn0029522, CG13373,chrX,353.2226031,0.346013955,0.000826314,0.003180195,-0.85928271,9.39E-12,2.54E-11
FBgn0052817, CG32817,chrX,442.244095,-0.097478413,0.361919377,0.51376809,0.222775091,0.067247431,0.085980534
FBgn0029524, CG3176,chrX,856.1320464,0.079912497,0.388093662,0.538986655,0.391990828,0.000124858,0.000210855
FBgn0023536, CG3156,chrX,2085.352802,0.244651109,0.000242083,0.001066939,-0.052600327,0.439929264,0.490138423
FBgn0023534, CG17778,chrX,22.95220304,-0.001128264,0.994115178,1,1.781903205,6.66E-06,1.24E-05
FBgn0023535, arg,chrX,37.49317603,-0.522355454,0.008150173,0.023590142,1.45714755,1.27E-08,2.87E-08
FBgn0023537, CG17896,chrX,520.7021773,-0.421791049,2.96E-05,0.000163913,-0.527458406,2.16E-06,4.18E-06
FBgn0029525, CG18273,chrX,1181.958598,0.165707978,0.029565186,0.070520777,-0.774414948,1.67E-19,6.11E-19
FBgn0029523, CR18275,chrX,38.59673847,0.111830234,0.458553486,0.609313385,-0.069966487,0.783173262,0.818916315
FBgn0010019, Cyp4g1,chrX,108.3450141,-0.234471938,0.18378439,0.309093672,-1.14313843,0.094550881,0.118522522
FBgn0011822, Pgcl,chrX,7.204912439,0.118616537,0.455246984,0.606369293,1.12045282,0.054005866,0.069913731
FBgn0052816, CG32816,chrX,103.8850932,1.56389359,2.54E-14,6.01E-13,-1.317593542,3.87E-08,8.47E-08
FBgn0040370, CG13375,chrX,122.4927978,-0.161166643,0.176278385,0.299974681,-0.380714381,0.010323051,0.014532686
FBgn0040373, CG3038,chrX,138.7027232,0.266646039,0.047013633,0.103971713,-0.127910478,0.463959418,0.513940779
FBgn0000108, Appl,chrX,172.1185501,0.489014342,0.001766582,0.006213098,3.562149582,1.09E-78,1.23E-77
FBgn0025640, CG13369,chrX,383.8300804,0.110601083,0.24864848,0.388817729,-0.047066379,0.656095613,0.701075471
FBgn0025635, CG17829,chrX,491.3809744,0.149094364,0.094443431,0.183130139,0.371743026,0.000117694,0.000199057
FBgn0001341, Mybbp1A,chrX,1530.06372,0.200239815,0.003718782,0.011952593,0.3317479,4.50E-06,8.51E-06
FBgn0003575, su(sable),chrX,1019.717163,-0.509825865,6.51E-14,1.46E-12,0.963563353,3.37E-50,2.47E-49
FBgn0025634, CG13367,chrX,662.0522036,0.327674841,0.000153492,0.000710273,1.203020672,1.37E-40,8.40E-40
FBgn0025638, Roc1a,chrX,1476.372488,0.137612003,0.056283222,0.120584465,0.537907937,1.27E-12,3.59E-12
FBgn0040383, CG5254,chrX,128.231328,-0.313336485,0.014692231,0.039087152,-0.12054401,0.425499164,0.475799872
FBgn0040382, CG5273,chrX,1894.242716,-0.033407447,0.648098474,0.767887382,-0.500909238,2.68E-10,6.71E-10
FBgn0027343, fz3,chrX,448.0258559,0.020589556,0.808779297,0.888648526,0.244945233,0.007502962,0.01073287
FBgn0025621, CG16989,chrX,1249.062778,0.479058155,6.98E-10,9.06E-09,0.732856629,1.42E-19,5.20E-19
FBgn0029535, CG14635,chrX,281.8346684,-0.558986832,4.30E-05,0.000229736,-3.737693397,2.13E-84,2.59E-83
FBgn0026874, CG13358,chrX,8.891933318,-0.163774629,0.323099726,0.473848248,-0.902798477,0.070902276,0.090398516
FBgn0025616, CG13359,chrX,2382.39798,-0.06936866,0.339387321,0.490756471,-1.232298182,8.22E-54,6.38E-53
FBgn0015799, Rbf,chrX,2609.477068,0.000404361,0.994538055,1,0.607703108,1.17E-23,4.86E-23
FBgn0025620, CG13360,chrX,365.7062103,-0.11570761,0.240929942,0.379985367,-0.866346713,1.93E-13,5.67E-13
FBgn0015288, RpL22,chrX,1486.176911,-0.110264578,0.221174408,0.356185576,-0.458392639,5.83E-06,1.09E-05
FBgn0029532, CG13361,chrX,30.32667002,-0.024292785,0.861467692,0.925751894,0.470408103,0.443690656,0.493837005
FBgn0029531, CG13362,chrX,22.93316283,0.484900257,0.040801121,0.092179887,0.710185379,0.227520122,0.268581682
FBgn0025639, Hmt4-20,chrX,2030.315513,0.475190205,1.16E-10,1.67E-09,0.135564587,0.076194388,0.096733995
FBgn0002579, RpL36,chrX,4940.552941,-0.132084778,0.150493736,0.265600439,0.174007329,0.086599129,0.109133904
FBgn0026879, CG13364,chrX,96.97618702,-0.172610502,0.276033876,0.420706104,-0.896611877,0.004378739,0.00641193
FBgn0029529, CG13365,chrX,136.46788,0.120765317,0.351191883,0.503415626,0.428413695,0.011117833,0.015604417
FBgn0025633, CG13366,chrX,934.0423356,0.259885732,0.000392187,0.001645715,0.024656999,0.743779824,0.783784569
FBgn0040892, CG14634,chrX,166.9658463,-1.332377812,7.15E-17,2.29E-15,-2.547950415,9.49E-47,6.54E-46
FBgn0040341, CG11664,chrX,12.59702738,0.235724177,0.163875568,0.28341578,0.996610952,0.172710451,0.208410108
FBgn0029539, CG11663,chrX,3984.512033,-0.006236085,0.91429176,0.956225219,-0.693948668,5.92E-30,2.87E-29
FBgn0040339, MED22,chrX,806.7550227,0.12144095,0.15487032,0.271629602,0.221966502,0.016506754,0.022723037
FBgn0052815, CG32815,chrX,113.1569632,0.019132187,0.890311998,0.940441784,0.779095333,6.53E-05,0.000112612
FBgn0040340, TRAM,chrX,703.8524235,-0.180082103,0.02980701,0.071034532,-0.969741175,6.29E-25,2.69E-24
FBgn0040347, mus81,chrX,211.1745815,0.159207417,0.20983888,0.342010056,0.682018168,2.04E-05,3.67E-05
FBgn0042146, CG18823,chrX,338.7220547,0.147560562,0.192558006,0.320572095,1.05574324,1.14E-15,3.67E-15
FBgn0029552, CG14631,chrX,395.7469185,-0.241697144,0.006810466,0.020176101,-0.893974537,1.69E-18,5.98E-18
FBgn0040337, CG3021,chrX,951.5765021,-0.072995708,0.263071266,0.405717374,-1.362628056,1.04E-72,1.08E-71
FBgn0040398, CG14629,chrX,86.72566279,0.053087754,0.712971621,0.815619703,0.117085641,0.594566797,0.641830571
FBgn0040365, CG14628,chrX,853.7571016,-0.175891472,0.059526694,0.126092413,0.858790287,3.37E-17,1.15E-16
FBgn0040397, CG3655,chrX,279.1319254,0.22862433,0.017247406,0.044841587,0.190372492,0.073664051,0.093698885
FBgn0026143, Cdc45,chrX,196.3485719,-0.116223897,0.291511335,0.438266531,-2.995925898,1.44E-62,1.28E-61
