Gene	AS_event_ID	chromosome	strand	upstream_exon_end_coor	cassette_exon_start_coor	cassette_exon_end_coor	downstream_exon_start_coor	pvalue	qvalue	deltaPSI_control-KD
didum	chr2R_+_7503028_7503171_7503195_7503647	chr2R	+	7503028	7503171	7503195	7503647	4.02946985231143e-06	1.35493836071801e-05	-0.0254974454776756
CG43340	chr2R_+_7640617_7647305_7647677_7648295	chr2R	+	7640617	7647305	7647677	7648295	5.0531319919029e-10	2.67016796664548e-09	0.379378873806135
Dgk	chr2R_-_7837743_7843012_7843915_7844543	chr2R	-	7837743	7843012	7843915	7844543	2.03025328970723e-14	1.6060611370676e-13	0.0274681113163898
lig	chr2R_+_8076448_8077259_8077292_8077729	chr2R	+	8076448	8077259	8077292	8077729	0.000988980028556768	0.00237148333621812	0.0979158340658165
RagC-D	chr2R_-_8162428_8162487_8162706_8162768	chr2R	-	8162428	8162487	8162706	8162768	9.47027950653114e-22	1.21034131438482e-20	0.0724888206933562
pdm3	chr2R_+_8387500_8387560_8387594_8387754	chr2R	+	8387500	8387560	8387594	8387754	0.0355924870562746	0.0643506624400518	-0.233713401844264
RyR	chr2R_+_8866059_8866345_8866357_8867002	chr2R	+	8866059	8866345	8866357	8867002	9.0314985318018e-09	4.17312287950938e-08	0.409711813572445
RyR	chr2R_+_8875050_8875356_8877629_8878136	chr2R	+	8875050	8875356	8877629	8878136	0.00818046126329256	0.0168066275604464	0.0250829657316967
RyR	chr2R_+_8881954_8882303_8882416_8883052	chr2R	+	8881954	8882303	8882416	8883052	3.10358378742777e-09	1.50660347787509e-08	0.388482195656004
CG33199	chr2R_-_8948941_8950705_8950791_8950909	chr2R	-	8948941	8950705	8950791	8950909	5.22684363839742e-19	5.6960173543852e-18	0.0206316144465958
Tsen15	chr2R_+_9252165_9252225_9252310_9252360	chr2R	+	9252165	9252225	9252310	9252360	2.75939799280872e-05	8.28236225333976e-05	0.107843137254902
brp	chr2R_+_9532984_9533345_9533534_9533800	chr2R	+	9532984	9533345	9533534	9533800	0.0397535571841989	0.0710717415835675	-0.145742125387198
