Gene	AS_event_ID	chromosome	strand	retained_intron_start	retained_intron_end	pvalue	qvalue	deltaPSI_control-KD
Dscam1	chr2R_-_7377714_7381469	chr2R	-	7377714	7381469	3.93361829151043e-09	1.88877048919835e-08	-0.47949291457356
Dhx15	chr2R_+_7389510_7390076	chr2R	+	7389510	7390076	8.90482857008613e-10	4.58952516229844e-09	0.100395793626428
Eaf	chr2R_-_7400012_7406036	chr2R	-	7400012	7406036	9.49376313098008e-08	3.90169361514261e-07	-0.177407939333946
so	chr2R_+_7425280_7425874	chr2R	+	7425280	7425874	2.45298713415536e-11	1.47179228049322e-10	-0.50189260628913
Aldh-III	chr2R_-_7467826_7468420	chr2R	-	7467826	7468420	1.48592307531095e-06	5.27656123029899e-06	-0.0843397562782695
Aldh-III	chr2R_-_7473346_7473720	chr2R	-	7473346	7473720	6.75642301958932e-12	4.28286987848166e-11	-0.109587352947556
Aldh-III	chr2R_-_7475813_7476589	chr2R	-	7475813	7476589	0.0179746301677158	0.0346160497841357	-0.0749776848202431
didum	chr2R_+_7503195_7503647	chr2R	+	7503195	7503647	1.39151042441565e-07	5.60948596349857e-07	-0.405391363022942
blow	chr2R_-_7585357_7586191	chr2R	-	7585357	7586191	1.20101694251911e-07	4.87660463939814e-07	-0.247471073595597
CG1358	chr2R_-_7597665_7598214	chr2R	-	7597665	7598214	8.30643320662268e-05	0.000233229620087978	-0.613058927274613
CG1358	chr2R_-_7598357_7602430	chr2R	-	7598357	7602430	4.01021613366731e-06	1.34890802442157e-05	-0.700115021854152
CG1358	chr2R_-_7606244_7613932	chr2R	-	7606244	7613932	3.08135586805659e-05	9.18477348080168e-05	-0.412215821134227
CG43340	chr2R_+_7624509_7626489	chr2R	+	7624509	7626489	2.00467949054997e-06	6.9960839790223e-06	-0.351798320436883
CG43340	chr2R_+_7634314_7634757	chr2R	+	7634314	7634757	7.46929368106008e-14	5.64792299781807e-13	-0.446787687826157
CG43340	chr2R_+_7638905_7639702	chr2R	+	7638905	7639702	4.04135993690094e-15	3.38053626856573e-14	-0.381071707352231
