Gene	AS_event_ID	AS_structure_ID	sub_junction_ID	sub-junction_dispersion_estimate	LRT_statistic-full_vs_reduced	LRT_p_value-full_vs_reduced	BH_adjusted_p-values	control	KD	fitting_parameter_log2fold_change_KD_control	sub_junction_chr	sub_junction_start_coor	sub_junction_end_coor	sub_junction_size	sub_junction_strand	raw_count.Control1	raw_count.Control2	raw_count.Control3	raw_count.U2af381	raw_count.U2af382	raw_count.U2af383	percentage_usage.Control1	percentage_usage.Control2	percentage_usage.Control3	percentage_usage.U2af381	percentage_usage.U2af382	percentage_usage.U2af383	deltaPSI
Bdp1	chr2L_-_13372238_13372253_13372306	3_Junction_10017_Junction_10018	J001	0.00198207041279038	63.5322968665805	1.57759006850136e-15	1.36397138792578e-14	1.30384341334298	1.76653771822507	1.58563716553351	chr2L	13372238	13372306	69	-	13	16	22	62	87	56	5.28%	6.06%	5.43%	16.89%	18.87%	16.00%	-0.116633333333333
Bdp1	chr2L_-_13372238_13372253_13372306	3_Junction_10017_Junction_10018	J002	0.00162302437744952	64.9835592699117	7.55255758447029e-16	6.67799195466414e-15	2.51083902323269	2.43697860444183	-0.246186718668197	chr2L	13372253	13372306	54	-	233	248	383	305	374	294	94.72%	93.94%	94.57%	83.11%	81.13%	84.00%	0.116633333333333
CG9302	chr2L_-_13377615_13377650_13377698	3_Junction_10041_Junction_10042	J001	0.0993965267705801	15.071173060672	0.000103532344216152	0.000286754908581099	0.000389196920607479	0.789683099589474	12.4910882166427	chr2L	13377615	13377698	84	-	0	0	0	1	8	7	0.00%	0.00%	0.00%	1.01%	4.97%	6.54%	-0.0417333333333333
CG9302	chr2L_-_13377615_13377650_13377698	3_Junction_10041_Junction_10042	J002	0.0722645782728191	16.3569568915219	5.24632288793579e-05	0.000151408040353354	2.07783480678497	2.05745716312398	-0.068277415052461	chr2L	13377650	13377698	49	-	108	99	163	98	153	100	100.00%	100.00%	100.00%	98.99%	95.03%	93.46%	0.0417333333333335
bsk	chr2L_-_10248687_10248914_10249093	3_Junction_1004_Junction_1018	J001	0.0108475568345224	27.4826227588798	1.5851236192241e-07	6.34865972734259e-07	0.000331760523920489	0.926621562396745	13.2501190012198	chr2L	10248687	10249093	407	-	0	0	0	7	12	6	0.00%	0.00%	0.00%	2.47%	3.83%	2.21%	-0.0283666666666667
bsk	chr2L_-_10248687_10248914_10249093	3_Junction_1004_Junction_1018	J002	0.00403049363532942	28.5654988713483	9.05818591726085e-08	3.73167941390562e-07	2.4040609224228	2.40166511709014	-0.00799029400581919	chr2L	10248914	10249093	180	-	219	218	277	276	301	265	100.00%	100.00%	100.00%	97.53%	96.17%	97.79%	0.0283666666666665
asRNA:CR45130	chr2R_-_7579205_7579231_7579285	3_Junction_100957_Junction_100958	J001	0.00507826398690752	135.336453606075	2.78704121158659e-31	5.55559793638602e-30	0.455878733221271	1.61708497576648	4.4437587110939	chr2R	7579205	7579285	81	-	2	2	9	17	22	16	0.52%	0.57%	1.66%	20.99%	21.57%	23.88%	-0.2123
asRNA:CR45130	chr2R_-_7579205_7579231_7579285	3_Junction_100957_Junction_100958	J002	0.00280264325248615	140.597440360144	1.97046744203441e-32	4.13105149658867e-31	2.25852420862668	2.15897620755793	-0.332753519850545	chr2R	7579231	7579285	55	-	382	350	532	64	80	51	99.48%	99.43%	98.34%	79.01%	78.43%	76.12%	0.2123
CG1360	chr2R_-_7588971_7589142_7589265	3_Junction_101017_Junction_101020	J001	0.00555347485152757	37.2993077425837	1.0132056368755e-09	5.18380770199658e-09	1.55693233119585	1.54625485286647	-0.0364946338199026	chr2R	7588971	7589265	295	-	39	32	62	26	31	29	100.00%	100.00%	100.00%	83.87%	77.50%	76.32%	0.2077
CG1360	chr2R_-_7588971_7589142_7589265	3_Junction_101017_Junction_101020	J002	0.0108987260404345	36.2148343265066	1.76720227210072e-09	8.80732341168459e-09	0.0002812104906857	1.00589199515459	13.7839966235837	chr2R	7589142	7589265	124	-	0	0	0	5	9	9	0.00%	0.00%	0.00%	16.13%	22.50%	23.68%	-0.2077
