Gene	AS_event_ID	AS_structure_ID	sub_junction_ID	sub-junction_dispersion_estimate	LRT_statistic-full_vs_reduced	LRT_p_value-full_vs_reduced	BH_adjusted_p-values	control	KD	fitting_parameter_log2fold_change_KD_control	sub_junction_chr	sub_junction_start_coor	sub_junction_end_coor	sub_junction_size	sub_junction_strand	raw_count.Control1	raw_count.Control2	raw_count.Control3	raw_count.U2af381	raw_count.U2af382	raw_count.U2af383	percentage_usage.Control1	percentage_usage.Control2	percentage_usage.Control3	percentage_usage.U2af381	percentage_usage.U2af382	percentage_usage.U2af383	deltaPSI
Dhc64C	chr3L_-_4811669_4812056-4812255_4812893-4813089_4813326	3_Junction_151508_Junction_151509	J001	0.00306039030639186	139.273699275933	3.83744158235155e-32	7.94615345979942e-31	1.93783461001177	2.23561496185518	0.997538299392848	chr3L	4812255	4813326	1072	-	76	67	96	155	204	224	36.36%	37.64%	36.78%	74.52%	68.23%	75.42%	-0.357966666666667
Dhc64C	chr3L_-_4811669_4812056-4812255_4812893-4813089_4813326	3_Junction_151508_Junction_151509	J002	0.00311020111955886	138.688267054708	5.15310213899984e-32	1.06090574818517e-30	2.16883604466693	1.81767299962495	-1.17884722651242	chr3L	4813089	4813326	238	-	133	111	165	53	95	73	63.64%	62.36%	63.22%	25.48%	31.77%	24.58%	0.357966666666667
Dhc64C	chr3L_-_4811669_4812056-4812255_4812893-4813089_4813326	5_Junction_151503_Junction_151504	J001	0.00290189067744687	138.515612633177	5.6211724576228e-32	1.15560772593382e-30	1.99744743331395	2.27816187563858	0.939475076390793	chr3L	4811669	4812055	387	-	92	63	120	165	216	263	38.98%	35.20%	40.13%	76.04%	68.79%	73.46%	-0.3466
Dhc64C	chr3L_-_4811669_4812056-4812255_4812893-4813089_4813326	5_Junction_151503_Junction_151504	J002	0.00295683515721968	137.827161663342	7.95039987777916e-32	1.62348845006366e-30	2.19978463261657	1.86133706042469	-1.13515371652767	chr3L	4811669	4812892	1224	-	144	116	179	52	98	95	61.02%	64.80%	59.87%	23.96%	31.21%	26.54%	0.3466
Mhc	chr2L_+_16768884_16769146-16769290_16769458-16769602_16770455	3_Junction_17345_Junction_17348	J001	0.00249336833355084	31.1917065768874	2.33762634147302e-08	1.03133245417861e-07	2.25238139433559	2.35857464362926	0.354525320363894	chr2L	16769290	16770455	1166	+	156	144	271	223	257	198	61.18%	59.26%	55.19%	74.58%	72.19%	69.72%	-0.1362
Mhc	chr2L_+_16768884_16769146-16769290_16769458-16769602_16770455	3_Junction_17345_Junction_17348	J002	0.00260458036282718	30.7869654748314	2.87965639442186e-08	1.25644320476858e-07	2.11676051872232	1.94707264725484	-0.569012186533876	chr2L	16769602	16770455	854	+	99	99	220	76	99	86	38.82%	40.74%	44.81%	25.42%	27.81%	30.28%	0.1362
Mhc	chr2L_+_16768884_16769146-16769290_16769458-16769602_16770455	5_Junction_17342_Junction_17343	J001	0.00220785299009783	11.4500667903265	0.000714914300010443	0.00175191414016022	2.18539815280608	2.25226977901763	0.22349439189269	chr2L	16768884	16769145	262	+	122	147	221	192	182	152	60.40%	64.19%	57.55%	70.33%	70.82%	66.96%	-0.0865666666666666
Mhc	chr2L_+_16768884_16769146-16769290_16769458-16769602_16770455	5_Junction_17342_Junction_17343	J002	0.00232742226165899	11.3031415232157	0.000773760593139585	0.0018863603683677	2.00721683982491	1.89797133384667	-0.36701015907552	chr2L	16768884	16769457	574	+	80	82	163	81	75	75	39.60%	35.81%	42.45%	29.67%	29.18%	33.04%	0.0865666666666667
LManII	chr2L_+_10459280_10459383-10459517_10459661-10459795_10459878	3_Junction_2496_Junction_2498	J001	0.00298055064552459	16.292694635888	5.42727850192037e-05	0.000156318208129238	2.02902428453658	1.92607176586005	-0.345649461771769	chr2L	10459517	10459878	362	+	89	68	94	119	117	98	71.77%	73.12%	68.61%	57.77%	52.47%	60.49%	0.142566666666667
LManII	chr2L_+_10459280_10459383-10459517_10459661-10459795_10459878	3_Junction_2496_Junction_2498	J002	0.00315348583372958	16.1287342693394	5.91793092922329e-05	0.000169674710501102	1.64726445200582	1.81308677297308	0.561364719923368	chr2L	10459795	10459878	84	+	35	25	43	87	106	64	28.23%	26.88%	31.39%	42.23%	47.53%	39.51%	-0.142566666666667
