Gene	AS_event_ID	chromosome	strand	common_5_SS_coor	A3SS_coordinates	pvalue	qvalue	deltaPSI_control-KD
Bdp1	chr2L_-_13372238_13372253_13372306	chr2L	-	13372306	13372238;13372253	7.55255758447029e-16	6.67799195466414e-15	-0.116633333333333;0.116633333333333
CG9302	chr2L_-_13377615_13377650_13377698	chr2L	-	13377698	13377615;13377650	5.24632288793579e-05	0.000151408040353354	-0.0417333333333333;0.0417333333333335
bsk	chr2L_-_10248687_10248914_10249093	chr2L	-	10249093	10248687;10248914	9.05818591726085e-08	3.73167941390562e-07	-0.0283666666666667;0.0283666666666665
asRNA:CR45130	chr2R_-_7579205_7579231_7579285	chr2R	-	7579285	7579205;7579231	1.97046744203441e-32	4.13105149658867e-31	-0.2123;0.2123
CG1360	chr2R_-_7588971_7589142_7589265	chr2R	-	7589265	7588971;7589142	1.0132056368755e-09	5.18380770199658e-09	0.2077;-0.2077
tor	chr2R_-_7705571_7705589_7705644	chr2R	-	7705644	7705571;7705589	0.00227335681670151	0.00514621306705146	-0.200433333333333;0.200433333333333
CG30382	chr2R_-_7828509_7830992_7831279	chr2R	-	7831279	7828509;7830992	6.14530793515142e-05	0.000175802822378872	-0.359266666666667;0.359266666666667
Dgk	chr2R_-_7831619_7836912_7836979	chr2R	-	7836979	7831619;7836912	8.45396795052995e-11	4.82702135566178e-10	-0.0339666666666667;0.0339666666666666
Dgk	chr2R_-_7844756_7844781_7844884	chr2R	-	7844884	7844756;7844781	4.20572576881381e-14	3.24745224195584e-13	0.0267666666666665;-0.0267666666666667
CG12159	chr2R_-_7915521_7915547_7915564_7915899	chr2R	-	7915899	7915521;7915547;7915564	2.46459377571622e-17	2.41403973660869e-16	0.0289666666666666;-0.0221333333333333;-0.00676666666666667
rnh1	chr2R_-_7931842_7931846_7931897	chr2R	-	7931897	7931842;7931846	0.0219054097396779	0.0414577672107799	0.017;-0.0169999999999999
CG12769	chr2R_-_8056061_8056094_8056160	chr2R	-	8056160	8056061;8056094	0.0115262977824517	0.0230464740667309	0.409466666666667;-0.409466666666667
coil	chr2R_-_8119620_8125209_8125265	chr2R	-	8125265	8119620;8125209	1.07776440459511e-08	4.94085579450107e-08	-0.0329;0.0329
Lpin	chr2R_-_8137682_8138592_8138802_8138936	chr2R	-	8138936	8137682;8138592;8138802	1.25307115881421e-88	9.21693430666301e-87	-0.2816;-0.0389666666666667;0.320566666666667
Lpin	chr2R_-_8140613_8140616_8140679	chr2R	-	8140679	8140613;8140616	0.0220160989226373	0.0416474212760907	-0.0625666666666666;0.0625666666666667
CG2127	chr2R_-_8367792_8368808_8369768_8369850	chr2R	-	8369850	8367792;8368808;8369768	0.000301352601489627	0.000781452031530034	-0.0317;-0.318433333333333;0.350133333333333
CG42326	chr2R_-_8582319_8582595_8583493	chr2R	-	8583493	8582319;8582595	0.0261023291306642	0.0486294437466545	0.3822;-0.3822
Lnpk	chr2R_-_8599692_8599701_8599809	chr2R	-	8599809	8599692;8599701	9.32133451168403e-06	2.98359450639781e-05	-0.00903333333333333;0.00903333333333345
CG30355	chr2R_-_8644758_8679436_8679492	chr2R	-	8679492	8644758;8679436	9.30226423369644e-10	4.78092804400613e-09	-0.011;0.0110000000000001
stmA	chr2R_-_8729864_8729879_8730062	chr2R	-	8730062	8729864;8729879	0.000131195582417119	0.000358351276379378	-0.0175;0.0175
CG8272	chr2R_-_8889773_8889795_8889857	chr2R	-	8889857	8889773;8889795	0.0326172376413749	0.0594947596792889	0.0135333333333333;-0.0135333333333334
CG13743	chr2R_-_9041811_9048026_9049878	chr2R	-	9049878	9041811;9048026	9.57022353440637e-16	8.40952312343414e-15	-0.801566666666667;0.801566666666667
CG13743	chr2R_-_9050629_9051151_9055885_9059120_9059253	chr2R	-	9059253	9050629;9051151;9055885;9059120	2.34706088506631e-05	7.10946259710199e-05	0.200333333333333;-0.6828;0.4206;0.0618666666666667
CG8080	chr2R_-_9091036_9091039_9091051_9091405	chr2R	-	9091405	9091036;9091039;9091051	2.22689629826599e-16	2.04472557611916e-15	0.0323;0.235533333333333;-0.2679
CG18659	chr2R_-_9128641_9131073_9131162	chr2R	-	9131162	9128641;9131073	0.000140641881348733	0.00038245181739736	-0.00873333333333337;0.00873333333333333
CG8008	chr2R_-_9159267_9159285_9159334	chr2R	-	9159334	9159267;9159285	0.0145330573165974	0.0285054266159624	0.0251;-0.0251
Rme-8	chr2R_-_9175661_9175671_9175731	chr2R	-	9175731	9175661;9175671	2.6328028543721e-06	9.05931903595475e-06	-0.0343333333333333;0.0343333333333333
Rme-8	chr2R_-_9176235_9176318_9176391	chr2R	-	9176391	9176235;9176318	1.04054360367156e-07	4.25695770213113e-07	0.0321999999999999;-0.0322
Rme-8	chr2R_-_9176500_9176533_9176586	chr2R	-	9176586	9176500;9176533	4.50629107747829e-06	1.50561205705027e-05	-0.0251;0.0251
Not1	chr2R_-_9572783_9572817_9572852_9572916	chr2R	-	9572916	9572783;9572817;9572852	2.81200531989012e-15	2.38172239112403e-14	0.0143;-0.00503333333333333;-0.00926666666666667
Not1	chr2R_-_9575925_9576115_9576118_9576176	chr2R	-	9576176	9575925;9576115;9576118	1.38816025208817e-16	1.29277280500418e-15	-0.0144;0.00906666666666645;0.00533333333333334
clos	chr2R_-_9587923_9588805_9592745	chr2R	-	9592745	9587923;9588805	1.37602499268559e-29	2.56394425050236e-28	-0.6487;0.6487
CG9014	chr2L_-_13723001_13723010_13723067	chr2L	-	13723067	13723001;13723010	0.0274627961918391	0.0509193555519605	0.00116666666666667;-0.00116666666666676
Vamp7	chr2R_-_9842167_9842225_9842299	chr2R	-	9842299	9842167;9842225	2.77473405558727e-11	1.65664198701501e-10	-0.157033333333333;0.157033333333333
CG46338	chr2R_-_9865051_9865069_9865122	chr2R	-	9865122	9865051;9865069	0.047409764264635	0.0832827508841462	0.0149666666666667;-0.0149666666666667
Sec24AB	chr2R_-_9878554_9878592_9878657	chr2R	-	9878657	9878554;9878592	6.48197127900361e-11	3.73971342928327e-10	0.0311;-0.0311
CG1513	chr2R_-_9889124_9889162_9889167_9889605	chr2R	-	9889605	9889124;9889162;9889167	1.18908544431117e-17	1.18886938294034e-16	0.327866666666667;-0.231866666666667;-0.096
Pka-R2	chr2R_-_9921840_9996621_9997220_9997702	chr2R	-	9997702	9921840;9996621;9997220	8.94083302217467e-53	3.50057836749972e-51	-0.0274666666666667;-0.367066666666667;0.394533333333333
CG1418	chr2R_-_9964544_9964581_9964632	chr2R	-	9964632	9964544;9964581	0.0131160654222195	0.0259459463166218	0.00246666666666667;-0.00246666666666673
ect	chr3L_-_10195971_10195995_10196206	chr3L	-	10196206	10195971;10195995	0.00200027726365726	0.00456947061041519	0.589466666666667;-0.589466666666667
CG9008	chr2L_-_13775047_13775185_13775253	chr2L	-	13775253	13775047;13775185	3.11337062206128e-11	1.85002182536374e-10	-0.0834;0.0833999999999999
Gem3	chr3L_-_10462758_10462778_10462835	chr3L	-	10462835	10462758;10462778	6.01194054505727e-05	0.000172204433215487	-0.0163333333333333;0.0163333333333333
CG14151	chr3L_-_10627924_10627985_10628046	chr3L	-	10628046	10627924;10627985	3.15664120041916e-69	1.72169926304524e-67	-0.149533333333333;0.149533333333333
CG14151	chr3L_-_10628196_10628279_10628338	chr3L	-	10628338	10628196;10628279	4.77196245488057e-41	1.34494885075854e-39	-0.124233333333333;0.124233333333333
CG32066	chr3L_-_10659606_10659632_10659668_10660781	chr3L	-	10660781	10659606;10659632;10659668	8.21482991549272e-08	3.40089251679848e-07	-0.106233333333333;-0.0378666666666667;0.144133333333333
OXA1L	chr3L_-_10885790_10885849_10885900	chr3L	-	10885900	10885790;10885849	8.14290119074238e-09	3.7804835825162e-08	0.00646666666666662;-0.00646666666666667
Sod1	chr3L_-_11109266_11112848_11113572	chr3L	-	11113572	11109266;11112848	0.000220895495131868	0.000583885025414707	-0.0018;0.00180000000000002
Ir68a	chr3L_-_11199392_11234758_11234846	chr3L	-	11234846	11199392;11234758	0.000593625654201986	0.00147296010185672	-0.652766666666667;0.652766666666667
Duba	chr3L_-_11607070_11607083_11607142	chr3L	-	11607142	11607070;11607083	5.81678096950017e-51	2.18017278653543e-49	-0.0257666666666667;0.0257666666666667
CG32085	chr3L_-_11654113_11668605_11674266	chr3L	-	11674266	11654113;11668605	1.99250935276982e-39	5.3461432491497e-38	-0.421933333333333;0.421933333333333
Pi3K68D	chr3L_-_11776476_11776526_11780676	chr3L	-	11780676	11776476;11776526	3.51089266389074e-08	1.51563774311064e-07	-0.0265666666666667;0.0265666666666668
Pi3K68D	chr3L_-_11785115_11786639_11787056	chr3L	-	11787056	11785115;11786639	0.000197947168972388	0.000526945662272816	-0.0494333333333332;0.0494333333333333
viaf	chr3L_-_11992869_11992989_11993037	chr3L	-	11993037	11992869;11992989	0.000110936601490679	0.000306183736001976	0.0215333333333332;-0.0215333333333333
rols	chr3L_-_12055698_12055708_12056228	chr3L	-	12056228	12055698;12055708	1.95618871437504e-33	4.25384073922101e-32	0.979166666666667;-0.979166666666667
yps	chr3L_-_12072071_12122154_12122674	chr3L	-	12122674	12072071;12122154	6.19476702127692e-25	9.34269606928064e-24	-0.0115333333333333;0.0115333333333332
ND-SGDH	chr3L_-_12137896_12137944_12138014	chr3L	-	12138014	12137896;12137944	1.14471987001156e-13	8.51628723262268e-13	-0.0104333333333333;0.0104333333333334
eIF3l	chr3L_-_12143648_12143685_12143743	chr3L	-	12143743	12143648;12143685	0.000202344911115093	0.000537903485548991	-0.00336666666666667;0.00336666666666663
Tsen54	chr3L_-_12205884_12205891_12205942	chr3L	-	12205942	12205884;12205891	6.54664638086321e-09	3.07269911693125e-08	-0.1383;0.1383
Ncc69	chr3L_-_12369284_12373720_12373783	chr3L	-	12373783	12369284;12373720	1.22025833110094e-07	4.95135963130708e-07	-0.0536333333333333;0.0536333333333334
Klp61F	chr3L_-_1241446_1241991_1242074	chr3L	-	1242074	1241446;1241991	0.00783742620706568	0.0161626791819245	-0.0236333333333333;0.0236333333333333
CG10660	chr3L_-_12478131_12487447_12488081	chr3L	-	12488081	12478131;12487447	1.15942544698477e-15	1.01264982995988e-14	-0.0309;0.0308999999999999
CG10660	chr3L_-_12488753_12488774_12488826	chr3L	-	12488826	12488753;12488774	3.68504780270351e-32	7.63722553738918e-31	-0.191833333333333;0.191833333333333
CG10660	chr3L_-_12488917_12488960_12489010	chr3L	-	12489010	12488917;12488960	0.021427762887498	0.0406241829519488	-0.00916666666666667;0.00916666666666677
sti	chr3L_-_12511782_12511803_12512033	chr3L	-	12512033	12511782;12511803	2.57152753537852e-09	1.25839923147389e-08	-0.0994;0.0993999999999999
eIF2beta	chr3L_-_12526355_12526358_12526385_12526587	chr3L	-	12526587	12526355;12526358;12526385	7.91722070908128e-06	2.5602252741213e-05	-0.0019;-0.0041;0.00600000000000023
sowah	chr3L_-_12541377_12548496_12564897	chr3L	-	12564897	12541377;12548496	6.64853834256538e-09	3.1187831642756e-08	-0.161733333333333;0.161733333333333
CG32106	chr3L_-_12778217_12778223_12778232_12778277	chr3L	-	12778277	12778217;12778223;12778232	0.000104485915712686	0.000289261625975188	0.0068;-0.0139666666666666;0.0072
