Gene	AS_event_ID	chromosome	strand	Composite_coordinates	pvalue	qvalue	deltaPSI_control-KD
mub	chr3L_+_21862131_21872115_21879941_21888632_21888692_21902996_21907344	chr3L	+	21862131;21872115;21879941;21888632;21888692;21902996;21907344	8.46189230935092e-07	1.85973460090665e-05	-0.413966666666667;0.413966666666667;-0.0464666666666667;-0.00996666666666666;0.0489666666666667;-0.0226666666666667;0.0301666666666667;Inf;Inf;-0.00699999999999999;0.00700000000000001
Csp	chr3L_+_22269920_22270912_22270976_22271284_22271340_22271380_22271556	chr3L	+	22269920;22270912;22270976;22271284;22271340;22271380;22271556	6.60119905118158e-10	2.43018698135791e-08	-0.0994666666666666;-0.0371333333333333;0.1055;0.0311;0.0159000000000001;-0.0159;0.0259666666666667;-0.0259666666666665
Srpk79D	chr3L_+_22277427_22277482_22277786_22278731_22278821	chr3L	+	22277427;22277482;22277786;22278731;22278821	0.0038458863931373	0.0272773755755142	0.0123333333333333;-0.0123333333333334;-0.0448333333333332;-0.0799;0.124666666666667
Ten-m	chr3L_-_22303608_22303697_22304529_22304965_22306914_22307545	chr3L	-	22303608;22303697;22304529;22304965;22306914;22307545	0.00655664495479008	0.0418526856658058	0.132533333333333;-0.0719;-0.0605666666666667;-0.0502666666666667;0.0502666666666666;-0.0473666666666666;0.0473666666666667
lncRNA:CR42862	chr3L_+_225918_226003_227092_229244_229587	chr3L	+	225918;226003;227092;229244;229587	2.6349701560366e-06	5.23579083804353e-05	-0.416;0.416;0.3836;-0.192266666666667;-0.191333333333333
mael	chr3L_+_22721402_22721453_22721475_22721524_22721905_22724104_22724191	chr3L	+	22721402;22721453;22721475;22721524;22721905;22724104;22724191	0.000271710471987776	0.00302984767071111	-0.121166666666667;-0.0106333333333333;0.102266666666667;0.0295333333333333;-0.120666666666667;0.120666666666667;0.118366666666667;-0.118366666666667
CG11367	chr3L_+_22729093_22729834_22732015_22732140_22732579	chr3L	+	22729093;22729834;22732015;22732140;22732579	0.00357301866657437	0.0257527535239991	-0.0771333333333333;0.0771333333333334;0.0481333333333333;0.0426;-0.0907
SPoCk	chr3L_+_22749992_22760240_22760247_22760787_22773716_22774736_22775137_22777109	chr3L	+	22749992;22760240;22760247;22760787;22773716;22774736;22775137;22777109	1.46119724054545e-09	5.08773831598267e-08	-0.0473333333333333;0.0383666666666665;0.00816666666666666;0.0015;-0.000700000000000006;0.0672666666666667;-0.0672666666666666;-0.0938666666666667;0.0938666666666665
l(2)gl	chr2L_-_15711_17051_17207_17212_17334_18024_18168_18259_19878	chr2L	-	15711;17051;17207;17212;17334;18024;18168;18259;19878	0.0465137158107971	0.179756218336125	-0.0261666666666667;-0.00109999999999999;0.0273;-0.0608;0.0109;0.0499;0.0104333333333334;-0.0104333333333333;-0.245366666666667;0.245366666666667;0.0272666666666667;0.0203333333333333;-0.0332666666666666;-0.0143333333333333
CycE	chr2L_-_15737964_15740770_15740899_15743609_15747831_15747984	chr2L	-	15737964;15740770;15740899;15743609;15747831;15747984	1.82502975991426e-22	2.2633539924064e-20	-0.315066666666667;0.289033333333333;0.026;-0.461333333333333;0.461333333333333;0.338466666666667;-0.293333333333333;-0.0452;-0.0539999999999999;0.054
CG32459	chr3L_-_22855705_22855735_22855738_22855790_22855796	chr3L	-	22855705;22855735;22855738;22855790;22855796	0.00080295298961772	0.00762941916965419	-0.000566666666666666;-0.000466666666666667;0.00106666666666666;0.0033333333333333;-0.00333333333333333
CG33170	chr3L_+_22864925_22864984_22865424_22865465_22865499_22865526_22865696_22865769	chr3L	+	22864925;22864984;22865424;22865465;22865499;22865526;22865696;22865769	3.21854444992477e-10	1.2470597949796e-08	0.1531;-0.1531;-0.0314;0.0313999999999999;-0.00553333333333334;0.0714;0.0180333333333333;0.0398333333333333;-0.1237
CG33170	chr3L_+_22865960_22865972_22866034_22867190_22867318_22867398	chr3L	+	22865960;22865972;22866034;22867190;22867318;22867398	0.00365793420706876	0.0262382035949424	-0.0467666666666666;0.00553333333333335;0.0512333333333333;-0.00989999999999991;-0.0632666666666667;0.0632666666666666
Arf79F	chr3L_-_22870065_22870150_22870288_22870845_22870851_22871318_22871458_22871922_22872055	chr3L	-	22870065;22870150;22870288;22870845;22870851;22871318;22871458;22871922;22872055	0.0183063425865852	0.0923743424793671	-0.0101666666666667;0.0101666666666665;0.0175333333333333;-0.0175333333333335;-0.0131666666666666;0.0131666666666667;-0.0560333333333333;0.0842666666666667;-0.0282333333333333;-0.000799999999999999;0.00253333333333333;-0.00456666666666667;-0.0207666666666667;0.0175666666666667;0.0111333333333333;-0.00506666666666668
ND-B17	chr2L_-_15749851_15750186_15750548_15750651_15750720	chr2L	-	15749851;15750186;15750548;15750651;15750720	0.00163876672970485	0.0137922197671911	-0.00543333333333333;0.0054333333333334;0.006;-0.00126666666666664;-0.00473333333333333
nrm	chr3L_+_23024169_23025084_23026667_23029835_23029931_23030817_23034387_23034487_23037636_23037753_23038010	chr3L	+	23024169;23025084;23026667;23029835;23029931;23030817;23034387;23034487;23037636;23037753;23038010	0.00701106463148585	0.0440646020881656	0.0414000000000002;-0.0414;-0.1743;0.1743;-0.00126666666666669;-0.145933333333333;0.1253;0.0218666666666667;-0.0259666666666667;0.133266666666667;-0.1073;0.00186666666666668;0.0695333333333333;-0.0714333333333333
CkIIalpha	chr3L_+_23099723_23099790_23100005_23100218_23100243_23100357_23101095_23102120	chr3L	+	23099723;23099790;23100005;23100218;23100243;23100357;23101095;23102120	0.0125335231404415	0.0689194951757964	0.108766666666667;-0.108766666666667;0.1212;-0.1212;-0.0324666666666668;-0.00726666666666666;-0.0139666666666666;0.0537;0.00593333333333333;0.0081;0.0548333333333333;-0.0688333333333332;0.0245;0.0252666666666667;-0.0498
