Gene	AS_event_ID	chromosome	strand	retained_intron_start	retained_intron_end	pvalue	qvalue	deltaPSI_control-KD
Ten-m	chr3L_-_22306914_22307545	chr3L	-	22306914	22307545	0.00342006326746172	0.0249029600133268	0.143545566670567
lncRNA:CR42862	chr3L_+_229244_229587	chr3L	+	229244	229587	3.87105784343066e-05	0.000574320154549259	-0.0127484977072225
CG40045	chr3L_+_24030857_24034876	chr3L	+	24030857	24034876	0.00629309903502482	0.0405085145399829	-0.237295923188503
CG40045	chr3L_+_24035018_24035430	chr3L	+	24035018	24035430	0.00228974695039293	0.0180773791127187	-0.228835978835979
CG11537	chr3L_-_3133338_3133947	chr3L	-	3133338	3133947	3.81706616367379e-19	3.62739863048177e-17	-0.365460439422443
haf	chr2L_+_1601912_1602320	chr2L	+	1601912	1602320	0.017157758462814	0.0878207104737297	0.302389277389277
NONE	chr3L_-_3581509_3581775	chr3L	-	3581509	3581775	0.00531703387357148	0.0353740237232918	-0.225554569653948
klar	chr3L_-_470725_470980	chr3L	-	470725	470980	0.00042114936507161	0.00439827440366861	-0.420529448621554
scny	chr3L_+_5774076_5774412	chr3L	+	5774076	5774412	1.3475136721557e-06	2.84849048413802e-05	-0.244827432765971
lncRNA:CR43974	chr3L_-_8082169_8082513	chr3L	-	8082169	8082513	2.11341971037943e-12	1.06988333817561e-10	-0.308282820296577
Sf3b3	chr3L_-_831790_832040	chr3L	-	831790	832040	3.56144602189426e-10	1.3700051131288e-08	0.204870142176681
CNMaR	chr3L_+_9658316_9658800	chr3L	+	9658316	9658800	0.00541396298391338	0.0358868868918591	0.182163283766252
lncRNA:CR45876	chr3L_+_9991989_9992367	chr3L	+	9991989	9992367	8.37218351645097e-06	0.000146909981229262	0.14127331384958
Mical	chr3R_-_10016826_10017571	chr3R	-	10016826	10017571	0.000430593109718975	0.00448054323823155	-0.0694677648610234
Cap-H2	chr3R_+_10766128_10766467	chr3R	+	10766128	10766467	9.11256315337954e-11	3.83366188301411e-09	-0.467171389132173
CG43449	chr3R_+_11089002_11094051	chr3R	+	11089002	11094051	7.6387596442762e-21	8.26130569541999e-19	0.058416522848157
CG17721	chr3R_+_11235137_11235389	chr3R	+	11235137	11235389	9.13952930456857e-06	0.000159028304998589	0.109260077294361
CG17230	chr3R_+_11463759_11464025	chr3R	+	11463759	11464025	0.000453094906021618	0.00467736941310216	-0.0263537832435867
NONE	chr3R_-_11578845_11579150	chr3R	-	11578845	11579150	0.00119226655050803	0.0106243486262873	0.0267310658186509
CG14711	chr3R_+_11623122_11623372	chr3R	+	11623122	11623372	0.00111222319125814	0.0100281164953844	0.106639044477852
CG14718	chr3R_+_11701576_11702380	chr3R	+	11701576	11702380	0.00388414659148186	0.0274894195420718	0.000966096765597113
CG14731	chr3R_+_11931945_11932261	chr3R	+	11931945	11932261	1.09835108156233e-11	5.15783419814661e-10	-0.214486217270232
ATP8B	chr3R_-_12073616_12074202	chr3R	-	12073616	12074202	9.76920564241184e-08	2.54570816877246e-06	0.187139188823751
sqd	chr3R_-_13644570_13645751	chr3R	-	13644570	13645751	5.51742351202095e-07	1.26047227537602e-05	-0.121130331045858
cv-c	chr3R_-_14480912_14481532	chr3R	-	14480912	14481532	0.00316990988853587	0.0234525142404046	0.0564862510878892
Mhcl	chr3R_-_16069346_16069861	chr3R	-	16069346	16069861	1.97690777988344e-25	2.9397808492475e-23	-0.212527791564868
Mhcl	chr3R_-_16097620_16098368	chr3R	-	16097620	16098368	0.00207921684940569	0.0167068129609344	0.264111560953666
gish	chr3R_+_16292834_16293985	chr3R	+	16292834	16293985	2.11338843133968e-20	2.20758026370231e-18	-0.0309366175394121
