Gene	AS_event_ID	chromosome	strand	Composite_coordinates	pvalue	qvalue	deltaPSI_control-KD
Eaf	chr2R_-_7400012_7406036_7407060_7407128_7407132_7407136_7407208_7407738_7428455_7428510_7443739_7446889_7446952	chr2R	-	7400012;7406036;7407060;7407128;7407132;7407136;7407208;7407738;7428455;7428510;7443739;7446889;7446952	2.51573626916427e-42	7.35714009835888e-41	-0.7564;0.7564;-0.211333333333333;0.211333333333333;-0.0330333333333333;0.0330333333333332;-0.266666666666667;0.266666666666667;0.2065;-0.0424666666666667;-0.0354;-0.0657666666666667;-0.0332333333333333;-0.0296333333333333;0.0567;0.0161666666666667;0.0360333333333333;0.0287;-0.137566666666667
Aldh-III	chr2R_-_7456847_7458466_7458607_7467050_7467219_7467316_7467472_7467481	chr2R	-	7456847;7458466;7458607;7467050;7467219;7467316;7467472;7467481	5.9067052400997e-14	4.50278083055163e-13	-0.00126666666666697;0.00126666666666667;-0.0274666666666667;0.157733333333333;-0.130266666666667;0.00339999999999985;-0.0034;-0.0543333333333333;0.0543333333333333;-0.0158666666666667;0.0158666666666667
Aldh-III	chr2R_-_7467826_7468420_7468537_7469108_7469225_7469358	chr2R	-	7467826;7468420;7468537;7469108;7469225;7469358	1.92024481428945e-43	5.81659758864083e-42	-0.110666666666667;0.189333333333333;-0.0787;0.1689;-0.0848666666666666;-0.084
Aldh-III	chr2R_-_7470072_7470130_7470241_7470294_7470392	chr2R	-	7470072;7470130;7470241;7470294;7470392	3.4035763370241e-25	5.19169682354213e-24	0.117833333333333;-0.117833333333333;-0.0380666666666667;0.0380666666666665;0.416533333333333;-0.416533333333333
Aldh-III	chr2R_-_7475559_7475813_7476245_7476305_7476462_7476589_7476887_7476995_7477189	chr2R	-	7475559;7475813;7476245;7476305;7476462;7476589;7476887;7476995;7477189	9.25003748237117e-07	3.37072880526779e-06	0.0643;-0.0643;-0.259866666666667;-0.161833333333333;0.0512666666666666;0.150866666666667;0.0699;0.0646666666666667;0.0850333333333333
didum	chr2R_+_7505499_7505647_7505746_7505837_7505842	chr2R	+	7505499;7505647;7505746;7505837;7505842	4.39692440926572e-96	3.5419008653558e-94	0.306366666666667;-0.306366666666667;-0.327133333333333;0.326333333333333;0.000799999999999999
loqs	chr2L_+_13384022_13384525_13384655_13384794_13384982_13384985	chr2L	+	13384022;13384525;13384655;13384794;13384982;13384985	1.44514072840083e-11	8.87404983981181e-11	0.00763333333333327;-0.00763333333333333;0.0213666666666666;-0.0213666666666667;-0.0329;0.00656666666666667;0.0205333333333333;0.0058;0.0138666666666666;-0.0138666666666667
Rpe	chr2R_-_7564857_7564921_7564939_7565046_7565056_7565240_7565297	chr2R	-	7564857;7564921;7564939;7565046;7565056;7565240;7565297	5.6065394954337e-67	2.95104476223226e-65	0.0608666666666667;-0.0608666666666667;-0.00683333333333333;0.00683333333333336;-0.0115333333333333;-0.00193333333333333;0.0194666666666669;-0.00603333333333333
CG1358	chr2R_-_7566350_7566511_7566758_7567803_7597665_7598214_7598357_7602430_7602656_7602710_7603120_7603224_7603406_7603519_7605942	chr2R	-	7566350;7566511;7566758;7567803;7597665;7598214;7598357;7602430;7602656;7602710;7603120;7603224;7603406;7603519;7605942	2.88251050662561e-30	5.52126768134806e-29	Inf;Inf;-0.555566666666667;0.555566666666667;-0.110333333333333;-0.199566666666667;-0.100933333333333;-0.2544;-0.1453;0.810566666666667;0.3831;-0.3831;0.0972333333333334;-0.0382666666666667;-0.0306;-0.0283333333333333;0.5053;-0.5053;0.315366666666667;-0.315366666666667;Inf;Inf;0.445366666666667;-0.445366666666667
blow	chr2R_-_7582928_7585054_7585357_7586191_7586930	chr2R	-	7582928;7585054;7585357;7586191;7586930	3.298324983414e-07	1.27130847166296e-06	-Inf;-Inf;-0.0931999999999998;0.0932;0.1798;-0.1798
LRR	chr2R_-_7606244_7613932_7620331_7620439_7677734_7677817_7677868_7677897_7677996_7678404_7678568_7679930_7680290_7680312_7680923_7681470_7681539_7682524_7684300_7684972_7685589_7686542_7686954_7688194_7688293_7695087_7698108_7699413_7705357_7705414	chr2R	-	7606244;7613932;7620331;7620439;7677734;7677817;7677868;7677897;7677996;7678404;7678568;7679930;7680290;7680312;7680923;7681470;7681539;7682524;7684300;7684972;7685589;7686542;7686954;7688194;7688293;7695087;7698108;7699413;7705357;7705414	1.04401907409971e-24	1.55893481700241e-23	-0.0668333333333333;-0.0439666666666667;0.285266666666667;-0.1745;-0.0111666666666667;-0.0342666666666667;0.0454000000000001;-0.0332;-0.0424;-0.210566666666667;-0.232033333333333;-0.119966666666667;-0.128066666666667;0.766266666666667;0.207566666666667;-0.207566666666667;-0.0167;-0.0560333333333333;0.0727333333333334;-0.0135666666666667;0.0135666666666667;0.8895;-0.246;-0.4517;-0.0754;-0.116433333333333;-0.0698333333333333;-0.0419;-0.0465;0.00589999999999996;0.1524;-0.206966666666667;0.239466666666667;-0.0325;0.0402666666666667;-0.0198333333333334;-0.0204333333333333;0.130166666666667;-0.0143333333333333;-0.115866666666667;0.116033333333333;-0.00983333333333333;-0.106233333333333;0.112566666666667;-0.0487;-0.0638666666666667;0.0029;0.0606666666666665;0.0112;-0.0747666666666667
CG43340	chr2R_+_7635200_7635605_7638372_7638596_7638670	chr2R	+	7635200;7635605;7638372;7638596;7638670	1.16501787776909e-10	6.56370329087373e-10	0.242233333333333;0.114466666666667;-0.3567;0.193033333333333;-0.193033333333333
tor	chr2R_-_7708342_7708378_7708427_7708493_7708725_7708791_7708846_7718413_7719306_7719374	chr2R	-	7708342;7708378;7708427;7708493;7708725;7708791;7708846;7718413;7719306;7719374	2.95914889177291e-54	1.19657342298643e-52	0.176733333333333;-0.0811;-0.0956666666666666;-0.0387666666666667;-0.0321333333333333;-0.0758666666666667;-0.1284;-0.0211333333333333;0.2963;Inf;Inf;Inf;Inf;0.208633333333333;-0.208633333333333
Gdap2	chr2R_-_7725995_7727369_7727940_7728378_7728823	chr2R	-	7725995;7727369;7727940;7728378;7728823	2.30563768195495e-32	4.81749305288743e-31	-0.1725;0.1725;0.0115333333333333;0.190033333333333;-0.2016
CG46385	chr2R_-_7729158_7729428_7729708_7735375_7741697_7741920_7742006_7744878_7745141_7745143_7745145_7745219_7747472_7753568_7758033_7778473_7779821_7779885_7781725_7781951_7801506	chr2R	-	7729158;7729428;7729708;7735375;7741697;7741920;7742006;7744878;7745141;7745143;7745145;7745219;7747472;7753568;7758033;7778473;7779821;7779885;7781725;7781951;7801506	1.30323477273075e-65	6.68504767034609e-64	-0.0207333333333333;-0.00433333333333334;0.0250666666666667;-0.0224666666666667;0.0224666666666667;-0.205633333333333;0.205633333333333;0.0728333333333333;-0.0728333333333333;0.0129333333333333;-0.0129333333333334;0.0230333333333332;-0.0230333333333333;0.241033333333333;-0.0664;-0.0238;-0.1263;0.1472;-0.110566666666667;-0.0257666666666667;-0.0354666666666667;0.403266666666667;-0.0983;-0.0047;-0.0230666666666667;-0.0076;-0.0724666666666667;0.00186666666666667;0.0023;-0.205233333333333;0.00396666666666667
