Gene	AS_event_ID	chromosome	strand	upstream_exon_end_coor	cassette_exon_start_coor	cassette_exon_end_coor	downstream_exon_start_coor	pvalue	qvalue	deltaPSI_control-KD
Srpk79D	chr3L_+_22279936_22280158_22280317_22281677	chr3L	+	22279936	22280158	22280317	22281677	1.003902995619e-26	1.65305142105057e-24	0.262834358929053
nrm	chr3L_+_23011596_23011740_23011817_23012721	chr3L	+	23011596	23011740	23011817	23012721	0.00269087785107895	0.0205382734801258	0.037211630090887
scro	chr3L_+_24741000_24748407_24748494_24757359	chr3L	+	24741000	24748407	24748494	24757359	0.000283455960231152	0.00314323230655279	0.31587469822764
Spn	chr3L_-_2511763_2511877_2511931_2512293	chr3L	-	2511763	2511877	2511931	2512293	8.52450486388217e-15	5.54274005020906e-13	0.176273035249085
Pxn	chr3L_-_2608644_2610493_2611159_2611314	chr3L	-	2608644	2610493	2611159	2611314	0.00727860577646451	0.0453867599579919	0.120454545454545
Mrtf	chr3L_-_2724058_2724177_2724577_2724675	chr3L	-	2724058	2724177	2724577	2724675	1.18964129914597e-24	1.66138579779209e-22	0.405190594701697
Shab	chr3L_+_2948892_2951993_2952107_2953010	chr3L	+	2948892	2951993	2952107	2953010	0.011353056055916	0.0639349110051933	-0.28193913929208
PAN3	chr3L_+_3071189_3071256_3071307_3073079	chr3L	+	3071189	3071256	3071307	3073079	0.00527889478044502	0.0351858766954315	0.132109585405422
Eip63E	chr3L_+_3578480_3588041_3588080_3593327	chr3L	+	3578480	3588041	3588080	3593327	1.42294567587424e-21	1.66505379169102e-19	0.230265767345536
CG32264	chr3L_-_3722522_3722859_3723105_3723637	chr3L	-	3722522	3722859	3723105	3723637	0.00290169004189668	0.0218401088636298	-0.00667033041482978
shep	chr3L_-_5156670_5157059_5157210_5157263	chr3L	-	5156670	5157059	5157210	5157263	3.02666839269256e-06	5.94061118896922e-05	0.379227053140097
DIP-delta	chr3L_+_5436632_5437712_5437775_5439188	chr3L	+	5436632	5437712	5437775	5439188	2.80681346125604e-17	2.28243675398164e-15	0.0316683432760685
sfl	chr3L_+_6496481_6505082_6505119_6523028	chr3L	+	6496481	6505082	6505119	6523028	0.00414759662988645	0.0289930092601235	-0.175008377909967
CG7546	chr3L_+_7513392_7513522_7513621_7513816	chr3L	+	7513392	7513522	7513621	7513816	0.0091910660898377	0.0543086163242517	0.0294956961219561
Ank2	chr3L_-_7700548_7703845_7704050_7705701	chr3L	-	7700548	7703845	7704050	7705701	1.4708578009204e-06	3.07983624474991e-05	0.0400723810922369
syd	chr3L_-_7933234_7933770_7933791_7935376	chr3L	-	7933234	7933770	7933791	7935376	0.00903371371355381	0.0536209815009887	0.152817046234938
nmo	chr3L_+_7979173_7979509_7979680_7980398	chr3L	+	7979173	7979509	7979680	7980398	0.000822559334583509	0.00778577194828042	-0.0334843062461445
nmo	chr3L_+_8047600_8048069_8048443_8049867	chr3L	+	8047600	8048069	8048443	8049867	0.0280165594784961	0.126258281126487	0.0141352098590619
Gug	chr3L_+_8468704_8468866_8468923_8469408	chr3L	+	8468704	8468866	8468923	8469408	0.024693604272662	0.115323113591154	0.10174498152794
CG43078	chr3L_+_8595794_8595860_8596103_8596410	chr3L	+	8595794	8595860	8596103	8596410	0.0376440056317636	0.155197571928515	-0.116255065663734
Fhos	chr3L_+_8786437_8786621_8787344_8787517	chr3L	+	8786437	8786621	8787344	8787517	0.0364847851389658	0.151939523020375	-0.0741582491582491
GluRIB	chr3L_+_9269222_9269433_9269535_9270190	chr3L	+	9269222	9269433	9269535	9270190	0.00365173948972217	0.0262054732528197	0.17536050270604
CG4452	chr3L_+_9368214_9368567_9368661_9368899	chr3L	+	9368214	9368567	9368661	9368899	1.773108188474e-06	3.65905053439634e-05	0.0555494955302381
Cpsf5	chr3L_+_9411982_9412154_9412335_9413201	chr3L	+	9411982	9412154	9412335	9413201	0.0468929314876821	0.180793503079743	0.0621832488849221
Prps	chr3L_-_9686463_9688530_9688599_9689263	chr3L	-	9686463	9688530	9688599	9689263	0.00637678343352157	0.0409323485764248	0.0636996446196361
Bruce	chr3R_-_10325656_10325731_10326031_10326259	chr3R	-	10325656	10325731	10326031	10326259	5.93969216807229e-12	2.86465288715565e-10	0.116493175587786
CG14693	chr3R_-_10812213_10812313_10812664_10812796	chr3R	-	10812213	10812313	10812664	10812796	3.42573121620035e-11	1.51460701348883e-09	-0.06448382889951
Cad86C	chr3R_+_10844363_10845029_10845120_10845577	chr3R	+	10844363	10845029	10845120	10845577	0.0191857174795038	0.0956175078821415	-0.214082080200501
NONE	chr3R_-_11009380_11009617_11009772_11010182	chr3R	-	11009380	11009617	11009772	11010182	0.000246460059798641	0.00278943634628691	0.39562080691113
CG43449	chr3R_+_11088670_11088785_11089002_11094051	chr3R	+	11088670	11088785	11089002	11094051	1.50831084603372e-10	6.1481850926429e-09	0.114697101779482
Jupiter	chr3R_-_11592624_11593321_11593354_11593631	chr3R	-	11592624	11593321	11593354	11593631	0.0159908899907128	0.0833120769631231	0.0112518446243468
CG12594	chr3R_+_11730556_11731332_11731456_11731870	chr3R	+	11730556	11731332	11731456	11731870	0.00658113644713378	0.0419839907150269	0.180610766045549
Lk6	chr3R_-_11756492_11759553_11763430_11763482	chr3R	-	11756492	11759553	11763430	11763482	0.0290313121181816	0.129585917300174	0.00483423442051151
grsm	chr3R_-_12950518_12956941_12957118_12959070	chr3R	-	12950518	12956941	12957118	12959070	0.00572510567181676	0.0376136749297587	-0.00103873139878941
sqd	chr3R_-_13643209_13644358_13644570_13645751	chr3R	-	13643209	13644358	13644570	13645751	1.1272449850685e-09	3.98543451215109e-08	0.0902695092049187
kmr	chr3R_+_13756662_13756889_13757027_13757181	chr3R	+	13756662	13756889	13757027	13757181	0.0472692736612663	0.181880858226647	-0.28000444000444
PR-Set7	chr3R_+_14316203_14316310_14316380_14316475	chr3R	+	14316203	14316310	14316380	14316475	0.027997249637972	0.12618896470869	0.170365440030772
NONE	chr3R_-_1442133_1443409_1443715_1443795	chr3R	-	1442133	1443409	1443715	1443795	0.0342977935914068	0.145597340785407	0.319976147883125
CG7886	chr3R_-_14629952_14634892_14634981_14641878	chr3R	-	14629952	14634892	14634981	14641878	3.18839103517114e-06	6.22569691460272e-05	0.00378102782871848
jvl	chr3R_+_14791252_14793442_14793888_14794527	chr3R	+	14791252	14793442	14793888	14794527	2.99044320097522e-05	0.000458822693274061	0.128926436773957
CG42542	chr3R_+_15199710_15200685_15201225_15202022	chr3R	+	15199710	15200685	15201225	15202022	0.0203031193806451	0.0997167013040666	0.0914140476786179
Acyp2	chr3R_+_15792901_15792956_15792973_15793040	chr3R	+	15792901	15792956	15792973	15793040	0.00291687761969373	0.0219315467189542	-0.00712554984239921
lncRNA:iab8	chr3R_-_16874314_16876392_16876594_16890070	chr3R	-	16874314	16876392	16876594	16890070	8.15434562892381e-05	0.00108636108989567	0.226574266274578
cher	chr3R_-_17105813_17106279_17106846_17106952	chr3R	-	17105813	17106279	17106846	17106952	0.000933853636153133	0.00866431129984307	0.151888576422862
cher	chr3R_-_17108839_17109707_17109722_17110212	chr3R	-	17108839	17109707	17109722	17110212	0.00324169520882125	0.0238849061591883	0.117286420573684
gwl	chr3R_+_18748289_18748360_18748489_18748664	chr3R	+	18748289	18748360	18748489	18748664	4.37223390170256e-08	1.21067533654859e-06	0.196821826599429
CG6184	chr3R_-_19655672_19656204_19656372_19657580	chr3R	-	19655672	19656204	19656372	19657580	1.42069677261073e-16	1.07120870151744e-14	-0.198354812578983
MICU3	chr3R_+_19852640_19853341_19853410_19853546	chr3R	+	19852640	19853341	19853410	19853546	4.78851244198558e-19	4.53715085229492e-17	0.15689876334744
CG42668	chr3R_+_20310638_20318976_20319026_20319562	chr3R	+	20310638	20318976	20319026	20319562	0.00151477844887092	0.0129230919434152	0.021409145148548
NONE	chr3R_+_20519140_20519197_20519862_20520056	chr3R	+	20519140	20519197	20519862	20520056	6.9817351434899e-05	0.000950643593372053	-0.234995737425405
Stat92E	chr3R_-_20537463_20538452_20538715_20539219	chr3R	-	20537463	20538452	20538715	20539219	0.000866246858770901	0.00812269222803992	0.0930571785760749
CG5191	chr3R_+_20561411_20566428_20566609_20570600	chr3R	+	20561411	20566428	20566609	20570600	0.0170798993127944	0.0875402753911939	-0.0804607174835869
Nep4	chr3R_-_20654735_20654851_20656452_20659516	chr3R	-	20654735	20654851	20656452	20659516	0.000629076721954733	0.00618685206599725	-0.00604758516864812
CG17271	chr3R_-_20819494_20819670_20820443_20820648	chr3R	-	20819494	20819670	20820443	20820648	0.0429492933234955	0.170157604217988	-0.019952602913663
CG33111	chr3R_-_23802241_23805759_23806120_23806624	chr3R	-	23802241	23805759	23806120	23806624	1.97402257675009e-07	4.86433388388963e-06	0.19412904422218
CG31140	chr3R_+_23973554_23974151_23975678_23976164	chr3R	+	23973554	23974151	23975678	23976164	0.00274961461058167	0.0208964855315719	0.24898780768346
KrT95D	chr3R_-_24000780_24002421_24002547_24003414	chr3R	-	24000780	24002421	24002547	24003414	1.20879700524496e-09	4.2550316939146e-08	-0.141970855525346
spas	chr3R_+_24039765_24039910_24040096_24040304	chr3R	+	24039765	24039910	24040096	24040304	0.0322632650581707	0.139551872515617	0.00787705034678488
Uck	chr3R_+_24291152_24291511_24292730_24292836	chr3R	+	24291152	24291511	24292730	24292836	0.000844804492396205	0.00795530422105315	0.074482894504071
mld	chr3R_+_24620104_24620169_24620235_24620377	chr3R	+	24620104	24620169	24620235	24620377	0.00310225028188513	0.0230634950073582	0.10467872651129
Saf-B	chr3R_+_24818849_24819728_24820767_24821095	chr3R	+	24818849	24819728	24820767	24821095	0.000332213968607256	0.00359409861187247	0.0453119953683907
ymp	chr3R_-_25593365_25593452_25593531_25593584	chr3R	-	25593365	25593452	25593531	25593584	0.0353927605455773	0.148763395293552	-0.000498631310396958
SppL	chr3R_+_25882275_25885118_25885287_25885380	chr3R	+	25882275	25885118	25885287	25885380	2.66579779365795e-05	0.000415865750515737	-0.257773743901289
Tsp97E	chr3R_-_26962451_26962539_26963080_26963156	chr3R	-	26962451	26962539	26963080	26963156	0.00211372999474631	0.0169269669150459	0.0547938493319492
TfIIA-L	chr3R_+_27254728_27255015_27255024_27255088	chr3R	+	27254728	27255015	27255024	27255088	0.00120780807184029	0.0107228853431581	-0.0293902324999079
Klp98A	chr3R_-_27550481_27550584_27550707_27550871	chr3R	-	27550481	27550584	27550707	27550871	1.41973669810303e-26	2.30316427330395e-24	0.160576889728425
Dhc98D	chr3R_+_28488065_28488751_28488807_28488929	chr3R	+	28488065	28488751	28488807	28488929	2.77678303942355e-08	7.9511437430544e-07	0.0173181964273998
Pkc98E	chr3R_+_29042240_29042825_29042857_29044365	chr3R	+	29042240	29042825	29042857	29044365	0.0178568612903961	0.0906044250972542	0.197539302802461
CG2224	chr3R_-_30457778_30457839_30458212_30458269	chr3R	-	30457778	30457839	30458212	30458269	1.29484299556142e-40	4.64703960211516e-38	0.180736994485535
Gprk2	chr3R_+_31405956_31410353_31410401_31433457	chr3R	+	31405956	31410353	31410401	31433457	0.000225243008198658	0.00258436079472942	0.0632632853529018
heph	chr3R_-_31857971_31864596_31864630_31865130	chr3R	-	31857971	31864596	31864630	31865130	3.16465986270998e-05	0.000481299512879621	-0.00277569720755588
Parp	chr3R_-_3585510_3586865_3586985_3598006	chr3R	-	3585510	3586865	3586985	3598006	5.39614070563563e-19	5.06063467256553e-17	-0.100556224053817
CG32944	chr3R_-_4408240_4412880_4413006_4413239	chr3R	-	4408240	4412880	4413006	4413239	0.00112086833177741	0.0100958425344795	0.0851033723140004
Nep2	chr3R_-_4730343_4730400_4730401_4730462	chr3R	-	4730343	4730400	4730401	4730462	0.00260080057143486	0.02001893476031	0.253805972860737
Mms19	chr3R_+_5232401_5232517_5232547_5232615	chr3R	+	5232401	5232517	5232547	5232615	0.00819633182253873	0.0498240492630309	0.173482726423903
NONE	chr3R_+_5463414_5465181_5465618_5465680	chr3R	+	5463414	5465181	5465618	5465680	0.000143390287650941	0.00175324238084966	0.265317349442986
CG2519	chr3R_-_5545068_5545670_5545742_5546191	chr3R	-	5545068	5545670	5545742	5546191	0.011395333288966	0.0641078558382054	0.126101347838608
Rheb	chr3R_+_5569471_5569574_5569782_5569840	chr3R	+	5569471	5569574	5569782	5569840	0.0435607528723071	0.171912171352125	0.00382186513297289
CG2082	chr3R_-_5760961_5761236_5761242_5761644	chr3R	-	5760961	5761236	5761242	5761644	5.69667114424898e-21	6.25572394833673e-19	0.0189680875217793
Hat1	chr3R_-_5788944_5789077_5789166_5789327	chr3R	-	5788944	5789077	5789166	5789327	0.000411446837368475	0.00431116559768197	-0.0520081615977735
Or83c	chr3R_-_6077066_6077132_6077322_6077408	chr3R	-	6077066	6077132	6077322	6077408	0.0120113664710887	0.0667377783661313	-0.215942028985507
CG42724	chr3R_-_6363230_6364161_6364725_6365002	chr3R	-	6363230	6364161	6364725	6365002	6.42927366678019e-09	2.05036654949564e-07	-0.264159315659764
gpp	chr3R_+_6407091_6407477_6407774_6436723	chr3R	+	6407091	6407477	6407774	6436723	0.0412716087316081	0.16570305278361	0.00883216741608983
Taf1	chr3R_+_6653290_6654022_6654121_6654468	chr3R	+	6653290	6654022	6654121	6654468	0.0350802067255523	0.14792721211876	0.037674559328172
sas	chr3R_+_7179641_7180013_7181048_7181555	chr3R	+	7179641	7180013	7181048	7181555	0.0265020473578732	0.121167036105411	0.103087671732419
CG11052	chr3R_-_8008661_8008775_8008792_8008845	chr3R	-	8008661	8008775	8008792	8008845	0.00776380610109679	0.0477277194010104	0.00574062065658065
Wdr62	chr2L_+_1937583_1937865_1937910_1938506	chr2L	+	1937583	1937865	1937910	1938506	0.0246734881062808	0.115263607709151	0.0300196697199603
NONE	chr3R_+_8539993_8545520_8546070_8546136	chr3R	+	8539993	8545520	8546070	8546136	0.00315591891290073	0.023384012327988	0.100029648713859
bel	chr3R_-_8657843_8657908_8657942_8658013	chr3R	-	8657843	8657908	8657942	8658013	0.000438285865733531	0.00455008440539557	0.00625554282367496
pyd	chr3R_-_8828318_8828834_8831005_8832140	chr3R	-	8828318	8828834	8831005	8832140	0.0352238929883264	0.148334669763196	-0.120608062161793
FER	chr3R_-_9369710_9371014_9372577_9372754	chr3R	-	9369710	9371014	9372577	9372754	0.0481259454126126	0.184158855090043	-0.023074313036948
PIP4K	chr4_-_1192770_1193559_1193654_1193706	chr4	-	1192770	1193559	1193654	1193706	0.0281729895949689	0.126696606550255	0.0102775528373988
Mitf	chr4_+_1220688_1221261_1221282_1221489	chr4	+	1220688	1221261	1221282	1221489	2.58725536301188e-05	0.000404989940972821	-0.206160527997995
Eph	chr4_+_616181_617303_617351_618346	chr4	+	616181	617303	617351	618346	0.00870904370382072	0.0521900817702563	0.0477820049014042
myo	chr4_-_692359_692424_692843_693379	chr4	-	692359	692424	692843	693379	0.000612391289041363	0.00604496447438633	-0.0326689214376372
bt	chr4_+_736187_736338_736515_736817	chr4	+	736187	736338	736515	736817	0.0304824882969897	0.134013877393237	0.105221465978384
eIF4G1	chr4_-_917090_917274_917743_918322	chr4	-	917090	917274	917743	918322	3.80838271278726e-05	0.000565413251333872	0.00643838126623431
CG10628	chr2L_-_19758472_19758531_19758609_19760721	chr2L	-	19758472	19758531	19758609	19760721	0.0222344303429513	0.106801408678147	0.0932938806320374
CG2533	chrX_-_11603894_11603960_11603998_11604073	chrX	-	11603894	11603960	11603998	11604073	0.0125804534909327	0.0691166435227067	-0.00420751905807657
CG2247	chrX_-_11609307_11609401_11609713_11610200	chrX	-	11609307	11609401	11609713	11610200	2.05447904332622e-13	1.16488780425702e-11	-0.158582349393447
Ptp10D	chrX_+_11673461_11673730_11675026_11675329	chrX	+	11673461	11673730	11675026	11675329	2.78137309124694e-05	0.000430062324770608	-0.112092913530967
bif	chrX_+_11689543_11692798_11693177_11693545	chrX	+	11689543	11692798	11693177	11693545	0.0178792516073163	0.0906965415749845	-0.148618510102076
Sec16	chrX_+_12605388_12605802_12606153_12607696	chrX	+	12605388	12605802	12606153	12607696	3.01777177724529e-06	5.92858338660594e-05	-0.165297412307998
NFAT	chrX_+_13656034_13658107_13658645_13660738	chrX	+	13656034	13658107	13658645	13660738	0.00518709157889466	0.0346855366003718	-0.148572586668179
rdgB	chrX_+_13770142_13770765_13770804_13771126	chrX	+	13770142	13770765	13770804	13771126	0.0398383883517243	0.161457189205925	-0.0923828661126293
rdgB	chrX_+_13773978_13774685_13776380_13776674	chrX	+	13773978	13774685	13776380	13776674	0.00390233437509249	0.0275938208684994	0.297340119622728
Pis	chrX_-_15702662_15702716_15703087_15703182	chrX	-	15702662	15702716	15703087	15703182	9.01537717776836e-09	2.82102701060408e-07	0.0433598974374961
lncRNA:CR32582	chrX_+_15836208_15836281_15836368_15836423	chrX	+	15836208	15836281	15836368	15836423	0.00648254440861286	0.0414827308849187	-0.0716208459257591
UBL3	chrX_-_15850710_15851087_15851196_15851583	chrX	-	15850710	15851087	15851196	15851583	1.1765251318645e-05	0.000199844397134076	0.0188607170555516
AnxB11	chrX_-_16419049_16419203_16419770_16420048	chrX	-	16419049	16419203	16419770	16420048	0.00455785515674526	0.031242122612513	0.0790883699844888
spir	chr2L_+_20336549_20339244_20339375_20339580	chr2L	+	20336549	20339244	20339375	20339580	0.0197926465576939	0.0978076467317549	-0.000683256172670621
Adar	chrX_+_1780825_1781717_1781883_1782934	chrX	+	1780825	1781717	1781883	1782934	0.0437417757112068	0.172401814891425	0.0570751875930143
CG14223	chrX_-_19661608_19662003_19662387_19662667	chrX	-	19661608	19662003	19662387	19662667	2.49191752436487e-09	8.37985522118289e-08	0.463726470047627
Rab35	chrX_-_20158269_20158338_20158528_20158894	chrX	-	20158269	20158338	20158528	20158894	0.00035290459097364	0.00378334607291591	0.0692836015419614
ABCA	chrX_-_21298934_21299543_21299609_21300149	chrX	-	21298934	21299543	21299609	21300149	0.00077816882953239	0.00743019378388679	0.0773069053507711
CG33322	chr2L_-_20814918_20814985_20815074_20815136	chr2L	-	20814918	20814985	20815074	20815136	2.61958369519902e-06	5.20843937367008e-05	0.00192835196950536
trol	chrX_-_2484759_2486056_2486242_2486925	chrX	-	2484759	2486056	2486242	2486925	0.00133408811177996	0.0116239189459998	-0.173289464988858
trol	chrX_-_2492420_2492654_2492885_2492986	chrX	-	2492420	2492654	2492885	2492986	0.000794879839273376	0.00756838235582644	-0.114131860939537
ewg	chrX_-_271613_272421_272883_273181	chrX	-	271613	272421	272883	273181	0.0281255594085355	0.126582631742221	-0.068494054322995
Vap33	chrX_+_3952221_3952491_3952699_3952765	chrX	+	3952221	3952491	3952699	3952765	0.00226972584479393	0.0179435710060801	-0.0215203029474583
CG12692	chrX_-_4301699_4301800_4302081_4302263	chrX	-	4301699	4301800	4302081	4302263	0.00210776016864031	0.0168875805679249	0.0041272742970887
rg	chrX_+_5243486_5243882_5244050_5246521	chrX	+	5243486	5243882	5244050	5246521	0.043227822881015	0.170894459780112	0.10373736881537
Ca-alpha1T	chrX_-_6132313_6135701_6135740_6137785	chrX	-	6132313	6135701	6135740	6137785	0.00991384618523651	0.0575004868892903	-0.378870358037025
Crag	chrX_+_8597714_8598073_8598154_8599029	chrX	+	8597714	8598073	8598154	8599029	0.0428267554814476	0.169885340696412	0.120018957171688
nej	chrX_-_9674443_9674498_9674561_9674812	chrX	-	9674443	9674498	9674561	9674812	0.0249727651648846	0.11627711871837	-0.0167265334653609
kl-5	chrY_-_22544_26216_28976_29027	chrY	-	22544	26216	28976	29027	3.33383617312512e-05	0.000503453149030866	0.0421615146395607
ORY	chrY_+_3562323_3564612_3565236_3565289	chrY	+	3562323	3564612	3565236	3565289	3.45100452869019e-10	1.33019745248606e-08	0.0696400964442202
CG2225	chr2L_-_21669913_21670448_21670481_21670533	chr2L	-	21669913	21670448	21670481	21670533	2.38445926487709e-10	9.43808056900613e-09	0.0593233676736147
Marf1	chr2L_+_22354969_22363154_22363261_22363428	chr2L	+	22354969	22363154	22363261	22363428	0.0113604521346382	0.063962033793277	-0.217611103581217
CG34109	chr2L_+_10120860_10121899_10122038_10125033	chr2L	+	10120860	10121899	10122038	10125033	0.00154224568609098	0.0131156215409281	0.0337122566405136
