Gene	AS_event_ID	chromosome	strand	common_5_SS_coor	A3SS_coordinates	pvalue	qvalue	deltaPSI_control-KD
Ten-m	chr3L_-_22340641_22350098_22358388_22381081_22399730_22406890	chr3L	-	22406890	22340641;22350098;22358388;22381081;22399730	0.0118542829877934	0.0660592464797741	-0.0692333333333331;0.0506333333333333;0.0150666666666667;-0.00653333333333333;0.0101333333333333
NONE	chr3L_-_22998452_23000376_23002008	chr3L	-	23002008	22998452;23000376	0.029413248652342	0.130786388370283	-0.335766666666667;0.335766666666667
lncRNA:CR40053	chr3L_-_24009835_24009929_24011160_24011178_24011231	chr3L	-	24011231	24009835;24009929;24011160;24011178	3.07396199044677e-31	6.56061103748475e-29	-0.549733333333333;-0.101966666666667;0.606166666666667;0.0455333333333333
CG31935	chr2L_-_1596421_1609408_1609484	chr2L	-	1609484	1596421;1609408	1.29022463320314e-08	3.91152999818797e-07	-0.0597333333333332;0.0597333333333333
CG45067	chr3L_-_3112553_3112566_3112629	chr3L	-	3112629	3112553;3112566	0.00268731179661974	0.0205249788522945	0.0841;-0.0841000000000002
CG31820	chr2L_-_16006094_16006115_16006165	chr2L	-	16006165	16006094;16006115	0.00125049005451028	0.0110226031273045	-0.0087;0.00870000000000004
eIF5B	chr3L_-_3447724_3457152_3457213	chr3L	-	3457213	3447724;3457152	7.61562661153646e-07	1.68701885914384e-05	-0.0054333333333334;0.00543333333333333
CG32264	chr3L_-_3769406_3802750_3803312	chr3L	-	3803312	3769406;3802750	0.000380090953485852	0.00403060794699317	-0.245633333333333;0.245633333333333
lncRNA:CR43627	chr3L_-_4929875_4930692_4930918	chr3L	-	4930918	4929875;4930692	5.96954170753055e-07	1.35604430280576e-05	0.0333;-0.0333
NONE	chr3L_-_5664995_5667607_5673528	chr3L	-	5673528	5664995;5667607	0.000218139532611713	0.00251769703817985	-0.517033333333333;0.517033333333333
CG10576	chr3L_-_5762715_5762993_5763046	chr3L	-	5763046	5762715;5762993	3.75087712923424e-29	7.17143147795051e-27	-0.0773;0.0773
S6k	chr3L_-_5800717_5801625_5805826	chr3L	-	5805826	5800717;5801625	0.00996541684597196	0.0577162228274509	0.0646666666666668;-0.0646666666666667
alphaKap4	chr3L_-_5969074_6009496_6009598	chr3L	-	6009598	5969074;6009496	6.80013835123942e-09	2.16261231595035e-07	-0.216533333333333;0.216533333333333
fmt	chr3L_-_6164723_6169927_6170115	chr3L	-	6170115	6164723;6169927	0.0241245205801825	0.113337964501353	0.0247333333333333;-0.0247333333333331
eIF4E4	chr3L_-_6664934_6664970_6665013	chr3L	-	6665013	6664934;6664970	0.0240770707313554	0.113156419698076	-0.000933333333333453;0.000933333333333334
eIF4E4	chr3L_-_6665489_6665492_6665531_6665539_6665584	chr3L	-	6665584	6665489;6665492;6665531;6665539	0.0319587083202016	0.138682746635914	-0.0898999999999999;0.00250000000000002;0.0749;0.0124666666666667
Rsph3	chr3L_-_6758110_6761882_6762921	chr3L	-	6762921	6758110;6761882	1.41351113812227e-05	0.000234699842398845	-0.00280000000000002;0.0028
CG17129	chr3L_-_679995_680104_680121_680172	chr3L	-	680172	679995;680104;680121	0.0102936779733629	0.0592222968553473	-0.343633333333333;0.286033333333333;0.0576
CG8641	chr3L_-_7068607_7068620_7068672	chr3L	-	7068672	7068607;7068620	0.0436633964152109	0.172168525871635	-0.0217333333333333;0.0217333333333332
CG8641	chr3L_-_7068808_7068998_7069049	chr3L	-	7069049	7068808;7068998	4.0071188768251e-09	1.31270435372831e-07	0.117833333333333;-0.117833333333333
CG8641	chr3L_-_7073639_7073642_7073734	chr3L	-	7073734	7073639;7073642	0.00462489321367589	0.0316072090361439	-0.1702;0.1702
Dscam2	chr3L_-_7167148_7167163_7167226	chr3L	-	7167226	7167148;7167163	0.0228504940392841	0.108938088157154	-0.260733333333333;0.260733333333333
lncRNA:CR43988	chr3L_-_72529_72710_72764	chr3L	-	72764	72529;72710	0.0395514089148205	0.160669157714493	-0.0725999999999999;0.0726
CG13405	chr3L_-_74391_74403_74452	chr3L	-	74452	74391;74403	0.00352875139178066	0.0255109643248669	0.0782;-0.0782
CG42266	chr2L_-_16339822_16339826_16339881	chr2L	-	16339881	16339822;16339826	0.00358863322025949	0.0258361685334632	0.0106666666666667;-0.0106666666666666
lncRNA:CR43974	chr3L_-_8058046_8070014_8070569_8082149_8082169_8082513	chr3L	-	8082513	8058046;8070014;8070569;8082149;8082169	5.19363024393666e-07	1.19158571607405e-05	-0.0385333333333333;-0.0132;-0.0465333333333333;-0.1221;0.2204
CG43783	chr3L_-_8932910_8932930_8932986	chr3L	-	8932986	8932910;8932930	0.0427612648100391	0.169730004595505	-0.1911;0.1911
CG43783	chr3L_-_8934273_8934308_8934311_8934403	chr3L	-	8934403	8934273;8934308;8934311	1.00386477506613e-54	6.38507693218049e-52	-0.0741;-0.00463333333333334;0.0787333333333333
bol	chr3L_-_9107695_9107710_9107954	chr3L	-	9107954	9107695;9107710	0.00372544890544119	0.026621419703498	0.0145999999999999;-0.0146
fry	chr3L_-_9632170_9632173_9632231	chr3L	-	9632231	9632170;9632173	0.00241479609694017	0.0188767237848057	0.1391;-0.1391
Fmr1	chr3R_-_10103747_10104218_10104287	chr3R	-	10104287	10103747;10104218	0.000333873760307977	0.00360828028873152	-0.0152333333333334;0.0152333333333333
Bruce	chr3R_-_10316041_10316074_10316200	chr3R	-	10316200	10316041;10316074	2.20181721453303e-05	0.000350550036378728	-0.0814666666666667;0.0814666666666665
CG6465	chr3R_-_10676994_10677016_10677068	chr3R	-	10677068	10676994;10677016	0.0274590081024777	0.124357106533036	-0.0432666666666667;0.0432666666666667
CG14691	chr3R_-_10753821_10753856_10753858_10754031	chr3R	-	10754031	10753821;10753856;10753858	0.0487019145230718	0.185670805282079	-0.0318666666666667;-0.00503333333333333;0.0369333333333334
CG14693	chr3R_-_10813598_10813704_10813718_10814177_10814183_10814252	chr3R	-	10814252	10813598;10813704;10813718;10814177;10814183	1.05740321141635e-20	1.13214399507663e-18	-0.333933333333333;0.2052;-0.00713333333333334;0.0819666666666667;0.0539
CG13280	chr2L_-_16802858_16802866_16802922	chr2L	-	16802922	16802858;16802866	0.0116332589777401	0.0651042939270844	-0.00483333333333333;0.00483333333333347
CG14740	chr3R_-_12060041_12061125_12061181	chr3R	-	12061181	12060041;12061125	1.18269740277491e-05	0.000200839714120176	-0.0056;0.00559999999999994
CG14740	chr3R_-_12061605_12061640_12061705	chr3R	-	12061705	12061605;12061640	0.0323786936817317	0.139844000323257	0.00113333333333354;-0.00113333333333333
CG4702	chr3R_-_12123864_12125024_12127869	chr3R	-	12127869	12123864;12125024	0.00639594205879146	0.0410184400318281	-0.214766666666667;0.214766666666667
